@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute arethinkthesothisoflikeonwithampnotbutbewasyoutowhengetforoutyourgohaveatitisdojustdontstilldrunk {True, False}
@attribute ahe {True, False}
@attribute thatin {True, False}
@attribute L {True, False}
@data
0.13,0.32,0.13,False,True,False,True
0.33,0.5,0.333333333,True,False,True,True
0.33,0.5,0.333333333,False,False,False,True
0.33,0.5,0.33,True,False,False,True
0.42,0.5,0.42,True,False,False,True
0.33,0.5,0.33,True,False,False,True
0.02,0.45,0.02,True,False,False,True
-0.33,0.75,0.333333333,True,True,False,True
0.33,0.5,0.333333333,True,False,False,True
0.47,0.4,0.47184244799999997,True,True,True,True
0.33,0.5,0.333333333,False,False,False,True
-0.21,0.75,0.21,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.37,0.45,0.36666666700000006,True,True,False,True
0.33,0.5,0.333333333,True,False,False,True
0.17,0.75,0.166666667,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.33,0.5,0.333333333,True,True,False,True
0.01,0.59,0.010416667,True,False,False,True
0.42,0.5,0.41666666700000005,True,False,False,True
0.0,0.44,0.0,True,False,True,True
0.33,0.5,0.33,True,False,False,True
0.12,0.29,0.12,True,True,True,True
-0.1,0.63,0.1,False,False,True,True
0.21,0.75,0.208333333,True,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.36,0.44,0.36,True,False,False,True
0.57,0.6,0.566666667,True,False,True,True
-0.23,0.65,0.233333333,True,False,False,True
0.03,0.36,0.033333333,True,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.42,0.5,0.41666666700000005,False,False,False,True
0.07,0.73,0.07,True,False,True,True
0.17,0.31,0.166666667,True,True,True,True
0.33,0.5,0.333333333,False,False,False,True
0.65,0.5,0.651041667,True,False,True,True
0.14,0.28,0.135416667,True,False,True,True
0.19,0.3,0.19166666699999999,True,False,True,True
0.33,0.5,0.333333333,True,False,False,True
-0.12,0.73,0.12222222199999999,True,False,True,True
-0.16,0.6,0.16,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.24,0.4,0.239583333,True,False,False,True
0.33,0.5,0.333333333,True,False,True,True
0.07,0.65,0.066666667,True,True,True,True
0.33,0.5,0.333333333,True,False,False,True
0.03,0.83,0.027777778,True,False,False,True
-0.29,0.75,0.29,True,False,False,True
0.06,0.63,0.06,True,False,True,True
0.33,0.5,0.333333333,False,True,False,True
0.33,0.5,0.33,True,True,False,True
0.33,0.5,0.33,True,False,False,True
0.01,0.3,0.01,True,False,True,True
0.33,0.5,0.333333333,True,False,False,True
0.1,0.4,0.095833333,True,False,True,True
0.33,0.5,0.33,False,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.07,0.65,0.066666667,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.23,0.38,0.226666667,True,False,True,True
0.52,0.55,0.5166666670000001,True,False,True,True
-0.13,0.65,0.133333333,False,False,False,True
0.33,0.5,0.33,True,False,False,True
0.33,0.5,0.333333333,True,True,True,True
0.42,0.5,0.41666666700000005,True,False,False,True
0.03,0.5,0.03,True,False,False,True
0.02,0.93,0.02,True,False,False,True
0.61,0.5,0.606944444,True,False,False,True
0.29,0.75,0.29,True,False,False,True
0.02,0.55,0.016666667,True,True,False,True
0.06,0.26,0.06,True,True,False,True
0.07,0.46,0.07,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
-0.08,0.59,0.08,True,True,False,True
0.0,0.0,0.0,True,False,False,True
0.12,0.54,0.12,True,False,False,True
0.29,0.75,0.291666667,False,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.81,0.5,0.813802083,False,False,False,True
0.27,0.35,0.26666666699999997,True,True,False,True
0.33,0.5,0.33,True,False,True,True
-0.24,0.57,0.23854166699999999,True,True,True,True
0.29,0.38,0.291666667,True,False,False,True
-0.02,0.37,0.022222222000000003,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.0,0.0,0.0,False,False,True,True
0.11,0.5,0.11,True,False,False,True
0.33,0.5,0.33,True,False,False,True
0.33,0.5,0.333333333,True,False,False,True
-0.36,0.77,0.355555556,True,False,False,True
0.33,0.5,0.333333333,True,False,False,True
0.34,0.57,0.34166666700000003,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.02,0.45,0.016666667,False,False,False,True
-0.06,0.5,0.055555556,True,False,False,True
0.13,0.63,0.127777778,True,False,False,True
0.33,0.7,0.33,True,False,True,True
0.08,0.6,0.07777777799999999,True,False,False,True
0.33,0.5,0.33,True,False,True,True
0.42,0.5,0.41666666700000005,True,False,False,True
1.0,0.3,1.0,True,False,False,True
0.01,0.7,0.005555556,True,False,False,True
0.18,0.6,0.18,True,False,False,True
0.27,0.35,0.27,True,False,False,True
0.33,0.5,0.333333333,False,False,False,True
0.33,0.5,0.33,True,False,False,True
-0.04,0.67,0.04444444400000001,True,True,False,True
0.33,0.5,0.33,False,False,False,True
0.33,0.5,0.33,True,False,False,True
0.33,0.5,0.33,True,False,False,True
