url,sentiment_polarity,abs Polarity,Clean tweet,sentiment_subjectivity,tweet,L
0,-0.25,0.25, Im not sure about the US but in Germany you need a reason to get divorced wienken,0.89,"@rymdprins IÉ??m not sure about the US  but in Germany you need a reason to get divorced.
@STRAlGHTPERSON @jan_wienken",n
0,-0.06,0.061111111,to that fuckwit hetero couple in canberra who will get divorced if gay marriage becomes legal in aus youre tacky and i hate you,0.56,to that fuckwit hetero couple in canberra who will get divorced if gay marriage becomes legal in aus... youre tacky and i hate you,n
0,0,0,   meenakshi ya I just want rosh get it y sid divorced her ,0,@beni4997 @skinnypal @ibneshaida @sagar_meenakshi ya... I just want rosh get it y sid divorced her ???è???è,n
0,0.1,0.1,I really want that Australian couple to get divorced,0.1,I really want that Australian couple to get divorced.,n
0,0.42,0.416666667,If gay marriage is legalised and that couple get divorced then Im going to stop watering my garden on Wednesdays for a year consequences,0.58,If gay marriage is legalised and that couple get divorced then I'm going to stop watering my garden on Wednesdays for a year #consequences,n
0,-0.19,0.191666667,I dont even know what to say about the couple saying theyll get divorced if gay marriage is legalised im just in shock over how stupid it is,0.79,I dont even know what to say about the couple saying theyll get divorced if gay marriage is legalised im just in shock over how stupid it is,n
0,0.31,0.3125,I dont know whether to go join ISIS or laugh at a straight married couple wanting to get divorced Whats the better ending,0.31,I don't know whether to go join #ISIS or laugh at a straight married couple wanting to get divorced. What's the better ending?,n
0,-0.05,0.05, I was hoping this was a joke but I think he feels his marriage is a joke and looking for an excuse to get divorced,0.05,@sarahcolonna I was hoping this was a joke but I think he feels his marriage is a joke and looking for an excuse to get divorced,n
0,0.23,0.225,Married and divorced Lesson learned But Id still get married again Just pick my partner more carefully,0.5,Married and divorced. Lesson learned. But I'd still get married again. Just pick my partner more carefully.,y
0,0,0, i yhought some were getting divorced if it didnt get passed wtffff,0,@galahxd i yhought some were getting divorced if it didn't get passed wtffff,n
0,0.1,0.1,I look like a 45 year old man who just got divorced so he drinks too muchamphasnt slept in 3 weeks because hes crashing on his buddys couch,0.2,I look like a 45 year old man who just got divorced so he drinks too much&amp;hasn't slept in 3 weeks because he's crashing on his buddy's couch,n
0,-0.04,0.0375,Ive got really bad luck with women Ive been divorced 19 times How do i keep meeting so many bitches,0.58,I've got really bad luck with women  I've been divorced 19 times. How do i keep meeting so many bitches!?,y
0,-0.07,0.071428571, I didnt know we got divorced your Facebook says youre single You wanna fill me in HalfOfEverything,0.21,@shirtshannasch7 I didn't know we got divorced  your Facebook says yo're single? You wanna fill me in? #HalfOfEverything,y
0,0,0,Puddle I was told if I got one Id be divorced Snap rebellious decision,0,@Muddy_Puddle I was told if I got one I'd be divorced. Snap rebellious decision,n
0,0.25,0.25, yes I think he was married before but got divorced a couple years ago,0.25,@JamieAndrew99 yes  I think he was married before but got divorced a couple years ago.,n
0,0.06,0.0625,I mean we got married and divorced in one dream So much one person can take  LT,0.38,I mean we got married and divorced in one dream... So much one person can take ! #LT,y
0,0,0,Mom and dad I dont know why you disowned me when you both got divorced its not my fault kimaribot,0,"""Mom and dad  I don't know why you disowned me when you both got divorced  it's not my fault."" #kimaribot",n
0,0.35,0.35,ford I got divorced before it was cool,0.65,@clementine_ford I got divorced before it was cool.,y
0,0,0,I just got divorcedBeen there done that she still has my Tshirts,0,"""I just got divorced.""
""Been there  done that  she still has my T-shirts.""",y
0,0.17,0.166666667, Jeanette i got married and divorced before i met my currently bf but we havent get married yet idek how come i had baby ,0.3,@AkaciaG @Inger__Jeanette i got married and divorced before i met my currently bf but we haven't get married yet. idek how come i had baby ????,y
0,0,0, I think she got divorced and went back to her maiden name or something while I was there,0,@PhilWOTG I think she got divorced and went back to her maiden name or something while I was there,n
0,-0.2,0.2,Why would you protest by getting divorced bc someone else got married Like Im having a very difficult time understanding the logic,0.63,Why would you protest by getting divorced bc someone else got married? Like  I'm having a very difficult time understanding the logic.,n
0,0.25,0.25,I got married and divorced today  ,0.25,I got married and divorced today. ???? http://t.co/KRmUUdjGGE,y
0,0.65,0.65,Got to watch 20 couples get divorced before I presented by case Never seen so many happy men,0.75,Got to watch 20 couples get divorced before I presented by case. Never seen so many happy men.,n
0,0.25,0.25,So  got married and divorced today I was the maid of honor,0.25,So @chloegardner13 got married and divorced today. I was the maid of honor???Å,n
0,0.75,0.75, Had a dream Kanye and Kim got divorced and I became Kims best friend and fell in love with Kanye ,0.45,... Had a dream Kanye and Kim got divorced and I became Kim's best friend and fell in love with Kanye. ???ê,n
0,0.17,0.166666667,I love having tours come to visit us here at work Not sure why I got asked by two kids if I was married but stilldivorced mrmomprobs,0.58,I love having tours come to visit us here at work. Not sure why I got asked by two kids if I was married but still...#divorced #mrmomprobs,n
0,0.14,0.136363636,Ive got a new job broke up moved Kickstarted Iron Edda got divorced,0.45,I've got a new job  broke up  moved  Kickstarted Iron Edda  got divorced.,n
0,-0.31,0.30625,I feel like i just got divorced  i mean ive never been divorced before but i bet this is how it feels Fucking sucks,0.49,I feel like i just got divorced ???? i mean i've never been divorced before but i bet this is how it feels. Fucking sucks,y
0,-0.71,0.714285714,ESQ we got divorced before getting engaged Im sick,0.86,@VinShu_ESQ we got divorced before getting engaged. I'm sick.,y
0,0.25,0.25,meringue on the marriage thing almost everyone I know that has got married is now divorced or getting divorced,0.25,@spider_meringue on the marriage thing: almost everyone I know that has got married is now divorced  or getting divorced,n
0,0,0, I did that some 12 years ago didnt see issue well until got divorced,0,@ShelaghFogarty I did that some 12 years ago  didn't see issue  well until got divorced,y
0,0,0, ortiz why I got divorced,0,@SteveStfler @leonor__ortiz why I got divorced,y
0,0,0, bro I believe all that  But it is what it is  You tryna like take up for Kobe when everyone knows  Shaq got divorced bro,0,@Octobersvry0wn bro I believe all that . But it is what it is . You tryna like take up for Kobe when everyone knows . Shaq got divorced bro,y
0,0.17,0.166666667,I would feel like a super prick if I got divorced or any such thing like that,0.58,I would feel like a super prick if I got divorced or any such thing like that,n
