@relation whatever
@attribute sentiment_polarity real
@attribute absPolarity real
@attribute sentiment_subjectivity real
@attribute L {True, False}
@attribute ive {True, False}
@attribute drunk {True, False}
@attribute pass {True, False}
@attribute back {True, False}
@attribute realli {True, False}
@attribute tonight {True, False}
@attribute cant {True, False}
@attribute sleep {True, False}
@attribute year {True, False}
@attribute id {True, False}
@attribute omg {True, False}
@attribute still {True, False}
@attribute hate {True, False}
@attribute saturday {True, False}
@attribute end {True, False}
@attribute wow {True, False}
@attribute af {True, False}
@attribute beer {True, False}
@attribute lol {True, False}
@attribute next {True, False}
@attribute better {True, False}
@attribute live {True, False}
@attribute time {True, False}
@attribute got {True, False}
@attribute wait {True, False}
@attribute woke {True, False}
@attribute week {True, False}
@attribute drink {True, False}
@attribute everi {True, False}
@attribute never {True, False}
@attribute watch {True, False}
@attribute took {True, False}
@attribute gonna {True, False}
@attribute fuck {True, False}
@attribute entir {True, False}
@attribute wake {True, False}
@attribute new {True, False}
@attribute weekend {True, False}
@attribute eat {True, False}
@attribute maria {True, False}
@attribute tri {True, False}
@attribute made {True, False}
@attribute last {True, False}
@attribute lmao {True, False}
@attribute wish {True, False}
@attribute minut {True, False}
@attribute work {True, False}
@attribute wednesday {True, False}
@attribute bed {True, False}
@attribute bad {True, False}
@attribute birthday {True, False}
@attribute today {True, False}
@attribute night {True, False}
@attribute im {True, False}
@attribute went {True, False}
@attribute didnt {True, False}
@attribute sorri {True, False}
@data
-0.5,0.5,1.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.15,0.15,0.65,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.19,0.187946429,0.73,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.57,0.566666667,0.93,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.21,0.2125,0.77,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.08,0.075,0.64,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.07,0.066666667,1.0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.56,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.5,0.5,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
-0.25,0.25,0.53,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.25,0.25,0.53,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.25,0.25,0.53,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
-0.03,0.033333333,0.6,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.16,0.16,0.78,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
