@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute L {True, False}
@attribute and {True, False}
@attribute a {True, False}
@attribute get {True, False}
@attribute i {True, False}
@attribute my {True, False}
@attribute drunk {True, False}
@attribute to {True, False}
@attribute the {True, False}
@attribute was {True, False}
@attribute you {True, False}
@attribute getdrunk {True, False}
@attribute imdrunk {True, False}
@attribute stilldrunk {True, False}
@attribute gotdrunk {True, False}
@attribute yourdrunk {True, False}
@attribute 1 real
@attribute 2 real
@attribute 3 real
@attribute 4 real
@attribute 5 real
@attribute 6 real
@attribute 7 real
@attribute 8 real
@attribute 9 real
@data
-0.16,0.6,0.16,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.22,0.13,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-24434.60993040753,71831.06587042587,-31963.94529672086,-13376.249622372523,-950.3837697487343,76.7416156411358,2061.960183176479,-317.2501688643916,401.9029371776835
0.02,0.93,0.02,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.47,0.22,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.73,0.07,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.29,0.54,0.29,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.42,0.29,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.5,0.33,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.5,0.33,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-28582.9722409089,69393.42179915446,-9141.37438471502,3913.223879581755,-2376.246543732934,690.1552585308451,2098.916362950044,-163.1708888177094,1504.3381301253
-0.03,0.65,0.03,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.29,0.12,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,-28582.9722409089,69393.42179915446,-9141.37438471502,3913.223879581755,-2376.246543732934,690.1552585308451,2098.916362950044,-163.1708888177094,1504.3381301253
0.33,0.5,0.33,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.5,0.42,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.44,0.36,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.5,0.33,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.5,0.33,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.03,0.55,0.03,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.5,0.04,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,-19097.058639128947,74056.05915078777,-15225.004038898143,-473.88269389343503,-5889.078887705242,2305.507145459237,3214.1556390223777,2626.6404288089325,4689.668085942941
0.33,0.5,0.33,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,-29501.643986926872,69160.95062020513,-18711.20081921396,-3194.489352854762,-7558.278239335851,2219.2497450750375,10368.811919526166,5035.725778530975,-3396.9495253590217
-0.17,0.8,0.17,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-28582.9722409089,69393.42179915446,-9141.37438471502,3913.223879581755,-2376.246543732934,690.1552585308451,2098.916362950044,-163.1708888177094,1504.3381301253
0.25,0.56,0.25,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.09,0.65,0.09,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.32,0.13,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.23,0.75,0.23,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.46,0.12,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,-95353.6589675943,122816.73368642977,-132028.18176360885,-79114.06508221164,2503.4038122554466,-874.1048335946818,-2425.726895088484,-1639.2931006451715,-115.74077254871861
0.18,0.6,0.18,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.54,0.12,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,-70919.04903718676,50985.6678160039,-100064.23646688799,-65737.81545983913,3453.787582004181,-950.8464492358177,-4487.687078264963,-1322.04293178078,-517.6437097264021
0.33,0.5,0.33,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.25,0.17,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.35,0.27,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.63,0.06,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.5,0.42,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.75,0.29,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.5,0.2,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.5,0.33,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.45,0.27,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
