@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute and {True, False}
@attribute a {True, False}
@attribute get {True, False}
@attribute i {True, False}
@attribute my {True, False}
@attribute drunk {True, False}
@attribute to {True, False}
@attribute the {True, False}
@attribute was {True, False}
@attribute you {True, False}
@attribute getdrunk {True, False}
@attribute imdrunk {True, False}
@attribute stilldrunk {True, False}
@attribute gotdrunk {True, False}
@attribute yourdrunk {True, False}
@attribute 1 real
@attribute 2 real
@attribute L {True, False}
@data
0.33,0.5,0.333333333,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.01,0.59,0.010416667,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.07,0.5,0.072916667,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.11,0.52,0.111111111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-24434.609930407532,71831.06587042566,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.57,0.6,0.566666667,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.33,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.42,0.5,0.42,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,True
0.17,0.75,0.17,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,True
0.19,0.3,0.19166666699999999,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.27,0.52,0.27,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,True
0.42,0.5,0.41666666700000005,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.01,0.3,0.01,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.0,0.1,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,-28582.972240908875,69393.42179915436,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.07,0.46,0.07,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.03,0.5,0.03,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.27,0.35,0.26666666699999997,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,0.0,0.0,True
0.48,0.5,0.47916666700000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.07,0.65,0.066666667,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.33,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,0.0,0.0,True
0.42,0.5,0.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.13,0.63,0.127777778,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.57,0.6,0.566666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.28,0.75,0.28,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.1,0.4,0.095833333,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,True
0.65,0.5,0.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.33,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,True
0.27,0.35,0.27,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
-0.16,0.7,0.15555555599999998,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-28582.972240908875,69393.42179915436,True
0.36,0.3,0.358333333,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,True
0.52,0.55,0.5166666670000001,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.33,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
1.0,0.5,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
-0.08,0.59,0.08,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
-0.16,0.6,0.16,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.33,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,True
-0.12,0.46,0.12,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,-95353.65896759427,122816.7336864295,True
0.02,0.45,0.016666667,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.07,0.65,0.066666667,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,True
0.33,1.0,0.33,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.47,0.75,0.46666666700000003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.81,0.5,0.813802083,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.33,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
-0.29,0.54,0.291666667,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,-70919.04903718673,50985.667816003835,True
-0.04,0.62,0.04,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,-29501.643986926832,69160.95062020504,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.59,0.6,0.589583333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.17,0.25,0.17,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,True
0.33,0.5,0.333333333,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,True
0.13,0.22,0.13,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-24434.609930407532,71831.06587042566,True
0.18,0.6,0.18,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,True
0.2,0.66,0.2,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.42,0.5,0.42,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.65,0.63,0.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.19,0.54,0.19,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.08,0.61,0.079166667,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,False
0.06,0.75,0.06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.28,0.53,0.28,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.04,0.75,0.04,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.42,0.5,0.42,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0.0,0.0,False
0.51,0.78,0.51,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.47,0.75,0.46666666700000003,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.333333333,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,False
-0.19,0.68,0.19,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.0,0.0,False
0.06,0.5,0.06,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.63,0.33,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,-70919.04903718673,50985.667816003835,False
0.42,0.75,0.42,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.53,0.33,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.08,0.75,0.08,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-29501.643986926832,69160.95062020504,False
0.33,0.5,0.333333333,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,0.0,0.0,False
-0.21,0.7,0.21,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,False
0.17,0.5,0.166666667,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,False
0.27,0.63,0.273611111,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.333333333,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.17,0.5,0.166666667,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.21,0.5,0.21,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,-28582.972240908875,69393.42179915436,False
-0.03,0.6,0.03,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,False
-0.5,0.3,0.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.5,0.64,0.5,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,-19097.058639128914,74056.05915078774,False
-0.14,0.42,0.14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
-0.13,0.44,0.13,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.33,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,False
0.42,0.5,0.42,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,0.0,0.0,False
0.1,0.45,0.1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,0.0,0.0,False
0.61,0.5,0.61,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.13,0.32,0.13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.42,0.5,0.42,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.0,0.0,False
0.33,0.35,0.33,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
0.33,0.5,0.333333333,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,False
0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
