@relation whatever
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute absPolarity real
@attribute and {True, False}
@attribute a {True, False}
@attribute get {True, False}
@attribute i {True, False}
@attribute my {True, False}
@attribute drunk {True, False}
@attribute to {True, False}
@attribute the {True, False}
@attribute was {True, False}
@attribute you {True, False}
@attribute getdrunk {True, False}
@attribute imdrunk {True, False}
@attribute stilldrunk {True, False}
@attribute gotdrunk {True, False}
@attribute yourdrunk {True, False}
@attribute L {True, False}
@data
-0.16,0.6,0.16,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0.13,0.22,0.13,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.02,0.93,0.02,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.22,0.47,0.22,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.07,0.73,0.07,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
-0.29,0.54,0.29,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
0.29,0.42,0.29,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-0.03,0.65,0.03,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0.12,0.29,0.12,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.42,0.5,0.42,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0.36,0.44,0.36,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True
0.33,0.5,0.33,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-0.03,0.55,0.03,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.04,0.5,0.04,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,True
0.33,0.5,0.33,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-0.17,0.8,0.17,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0.25,0.56,0.25,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
-0.09,0.65,0.09,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
0.13,0.32,0.13,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
-0.23,0.75,0.23,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True
-0.12,0.46,0.12,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
0.18,0.6,0.18,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
0.12,0.54,0.12,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.17,0.25,0.17,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0.27,0.35,0.27,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1.0,0.5,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.06,0.63,0.06,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
0.42,0.5,0.42,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.29,0.75,0.29,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.2,0.5,0.2,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.27,0.45,0.27,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.27,0.35,0.27,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.29,0.35,0.29,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0.42,0.5,0.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.17,0.75,0.17,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.12,0.35,0.12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.27,0.35,0.27,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.01,0.59,0.01,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.33,0.5,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.33,0.5,0.33,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.5,0.5,0.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.81,0.5,0.81,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
