@relation whatever
@attribute L {True, False}
@attribute absPolarity real
@attribute sentiment_polarity real
@attribute sentiment_subjectivity real
@attribute dont {True, False}
@attribute im {True, False}
@attribute still {True, False}
@attribute even {True, False}
@attribute day {True, False}
@attribute call {True, False}
@attribute way {True, False}
@attribute say {True, False}
@attribute didnt {True, False}
@attribute 1 real
@attribute 2 real
@attribute 3 real
@attribute 4 real
@attribute 5 real
@attribute 6 real
@attribute 7 real
@attribute 8 real
@attribute 9 real
@attribute 10 real
@attribute 11 real
@attribute 12 real
@attribute 13 real
@attribute 14 real
@attribute 15 real
@attribute 16 real
@data
True,0.16,-0.16,0.6,False,True,False,False,False,False,False,False,False,0.6456781640748864,0.19843040728394024,0.13050294787851316,-0.1332596496546641,0.0033508834851031038,-0.07329687643689889,0.026316174449477536,0.05302421295204564,0.006939708824857881,4.1103576610354264e-17,4.60990208399543e-17,-6.673091122325352e-18,1.7506408026039667e-17,1.801550018092706e-17,7.217862504504595e-17,-7.25608044304918e-17
True,0.13,0.13,0.22,False,False,False,False,True,False,False,False,False,0.0828964749417136,-0.2547266028701398,0.025947862500825043,0.02957715933165833,0.5170810546041988,-0.2077174960190235,-0.15629665494977046,-0.29622517934972614,0.06322227374679404,-1.7532309383880907e-16,-1.5451739024432326e-16,3.5185983024297364e-17,-1.4435826105135478e-16,-8.402009127015482e-17,-2.3944308461381185e-16,2.0774856552214707e-16
True,0.02,0.02,0.93,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.22,0.22,0.47,False,False,False,False,False,True,False,True,False,0.10727218408040276,-0.18249349240100313,-0.6044741006966889,-0.4660558611267942,-0.25575438410417317,-0.032556166871246586,0.2784304317140658,-0.4773804075145561,0.026571260359628073,-3.053850902947278e-16,-2.775943989938348e-16,2.5320437928114907e-16,-4.663363173318131e-16,-2.464184586383978e-16,-4.884142105516456e-16,4.932965765131684e-16
True,0.07,0.07,0.73,True,True,False,False,False,False,False,False,False,0.8701594672839623,-0.352349975328496,0.16694842133158966,0.0943007546374082,-0.15096620104110434,0.15791184288026677,0.09479586374646504,0.15425363457087898,0.03741931495118939,1.1901521449956635e-16,1.0468404472022658e-16,-5.615459624857672e-17,1.3234065713923125e-16,1.009010474551627e-16,1.75544818523843e-16,-1.6733874550358958e-16
True,0.29,-0.29,0.54,False,False,False,False,False,False,True,False,False,0.03100407779899129,-0.03759382237534786,-0.06071594257723775,0.07740424017749112,0.060680957075293376,-0.0921548331455539,0.09889885526762418,0.01612302640141873,-0.6824455892020284,-2.004286225382525e-16,-2.0957899122156273e-17,6.012764040707272e-17,-3.8418084131639724e-17,-1.8544487394212436e-16,-1.4676318067438463e-16,8.239873892973499e-17
True,0.29,0.29,0.42,False,False,False,False,False,False,False,False,True,0.0441856640292712,0.10490192625254477,-0.29770184759560975,0.34655151025012965,0.16127582227213322,-0.19509965411509606,0.3956825159181072,0.17527770240296692,0.16418946798130324,4.3439914440662807e-16,2.967657435175765e-16,-4.421868253805533e-17,5.348233119407557e-16,1.507600704194838e-16,5.018260921026726e-16,-4.618852881772948e-16
True,0.33,0.33,0.5,False,True,False,False,False,False,False,True,False,0.6923383274224341,0.199300220130055,0.04201911578548091,-0.17212264317482293,-0.2313062185385391,-0.06230924467795078,0.33958079001223107,-0.5257162911616909,0.021852043567353156,-4.0423325194568753e-16,-2.9159177784219193e-16,2.0707507548677338e-16,-5.878858533110501e-16,-2.3636741923933634e-16,-5.257231391120306e-16,5.101345361229431e-16
True,0.33,0.33,0.5,False,False,True,False,False,False,False,False,False,0.10756261279540424,0.21471624377159138,-0.2891899801730323,0.20140718359151988,0.1519885952420138,0.4809953743167422,-0.2124707557160121,-0.128941369104268,-0.04364331398670107,-1.6204705627473686e-16,-1.435185807250119e-16,-8.783270839154204e-17,-5.978984841956392e-17,-1.7247221325281906e-17,-2.1180365934060102e-16,1.7268319937550188e-16
True,0.03,-0.03,0.65,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.12,0.12,0.29,True,False,True,True,True,False,False,False,False,0.4891138233225564,-0.575393724224892,-0.40271824686796587,0.7394807224169277,0.19773436608449746,0.16083879973009058,-0.6994765839745736,-0.40374400791599957,0.05857721642806985,-4.544509173453106e-16,-4.451189384598938e-16,-7.738653418152372e-18,-4.466249430359273e-16,-1.6732688806673093e-16,-6.661445324570697e-16,6.853621773425284e-16
True,0.33,0.33,0.5,False,True,False,False,False,False,False,False,False,0.6456781640748864,0.19843040728394024,0.13050294787851316,-0.1332596496546641,0.0033508834851031038,-0.07329687643689889,0.026316174449477536,0.05302421295204564,0.006939708824857881,4.1103576610354264e-17,4.60990208399543e-17,-6.673091122325352e-18,1.7506408026039667e-17,1.801550018092706e-17,7.217862504504595e-17,-7.25608044304918e-17
True,0.42,0.42,0.5,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.36,0.36,0.44,False,True,False,False,False,False,False,False,False,0.6456781640748864,0.19843040728394024,0.13050294787851316,-0.1332596496546641,0.0033508834851031038,-0.07329687643689889,0.026316174449477536,0.05302421295204564,0.006939708824857881,4.1103576610354264e-17,4.60990208399543e-17,-6.673091122325352e-18,1.7506408026039667e-17,1.801550018092706e-17,7.217862504504595e-17,-7.25608044304918e-17
True,0.33,0.33,0.5,False,True,False,False,False,False,False,False,False,0.6456781640748864,0.19843040728394024,0.13050294787851316,-0.1332596496546641,0.0033508834851031038,-0.07329687643689889,0.026316174449477536,0.05302421295204564,0.006939708824857881,4.1103576610354264e-17,4.60990208399543e-17,-6.673091122325352e-18,1.7506408026039667e-17,1.801550018092706e-17,7.217862504504595e-17,-7.25608044304918e-17
True,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,0.6456781640748864,0.19843040728394024,0.13050294787851316,-0.1332596496546641,0.0033508834851031038,-0.07329687643689889,0.026316174449477536,0.05302421295204564,0.006939708824857881,4.1103576610354264e-17,4.60990208399543e-17,-6.673091122325352e-18,1.7506408026039667e-17,1.801550018092706e-17,7.217862504504595e-17,-7.25608044304918e-17
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
