url,Sentiment_polarity,absPolarity,Clean tweet,sentiment_subjectivity,L
0,-0.25,0.25, Im not sure about the US but in Germany you need a reason to get divorced wienken,0.89,n
0,-0.06,0.061111111,to that fuckwit hetero couple in canberra who will get divorced if gay marriage becomes legal in aus youre tacky and i hate you,0.56,n
0,0,0,   meenakshi ya I just want rosh get it y sid divorced her ,0,n
0,0.1,0.1,I really want that Australian couple to get divorced,0.1,n
0,0.42,0.416666667,If gay marriage is legalised and that couple get divorced then Im going to stop watering my garden on Wednesdays for a year consequences,0.58,n
0,-0.19,0.191666667,I dont even know what to say about the couple saying theyll get divorced if gay marriage is legalised im just in shock over how stupid it is,0.79,n
0,0.31,0.3125,I dont know whether to go join ISIS or laugh at a straight married couple wanting to get divorced Whats the better ending,0.31,n
0,-0.05,0.05, I was hoping this was a joke but I think he feels his marriage is a joke and looking for an excuse to get divorced,0.05,n
0,0.23,0.225,Married and divorced Lesson learned But Id still get married again Just pick my partner more carefully,0.5,y
0,0,0, i yhought some were getting divorced if it didnt get passed wtffff,0,n
0,0.1,0.1,I look like a 45 year old man who just got divorced so he drinks too muchamphasnt slept in 3 weeks because hes crashing on his buddys couch,0.2,n
0,-0.04,0.0375,Ive got really bad luck with women Ive been divorced 19 times How do i keep meeting so many bitches,0.58,y
0,-0.07,0.071428571, I didnt know we got divorced your Facebook says youre single You wanna fill me in HalfOfEverything,0.21,y
0,0,0,Puddle I was told if I got one Id be divorced Snap rebellious decision,0,n
0,0.25,0.25, yes I think he was married before but got divorced a couple years ago,0.25,n
0,0.06,0.0625,I mean we got married and divorced in one dream So much one person can take  LT,0.38,y
0,0,0,Mom and dad I dont know why you disowned me when you both got divorced its not my fault kimaribot,0,n
0,0.35,0.35,ford I got divorced before it was cool,0.65,y
0,0,0,I just got divorcedBeen there done that she still has my Tshirts,0,y
0,0.17,0.166666667, Jeanette i got married and divorced before i met my currently bf but we havent get married yet idek how come i had baby ,0.3,y
0,0,0, I think she got divorced and went back to her maiden name or something while I was there,0,n
0,-0.2,0.2,Why would you protest by getting divorced bc someone else got married Like Im having a very difficult time understanding the logic,0.63,n
0,0.25,0.25,I got married and divorced today  ,0.25,y
0,0.65,0.65,Got to watch 20 couples get divorced before I presented by case Never seen so many happy men,0.75,n
0,0.25,0.25,So  got married and divorced today I was the maid of honor,0.25,n
0,0.75,0.75, Had a dream Kanye and Kim got divorced and I became Kims best friend and fell in love with Kanye ,0.45,n
