sentiment_polarity,sentiment_subjectivity,absPolarity,a,al,am,amp,an,and,as,at,be,becaus,been,but,can,cant,day,didnt,do,dont,drink,drunk,ev,even,for,fuck,ges,go,gon,good,got,hav,hes,how,i,if,im,in,is,it,iv,just,know,last,lik,lol,lov,me,my,need,never,night,not,now,of,on,onl,out,real,shit,so,sor,stil,th,that,think,tim,to,toda,tonight,twees,up,wa,want,watch,we,what,when,with,wok,work,you,your,about,again,alway,ar,back,befor,being,best,beyonc,by,cal,car,caus,com,could,did,driv,ever,everyon,feel,find,friens,from,fun,girl,going,guy,ha,had,hah,hap,he,hi,high,him,histor,hom,il,kid,les,lif,littl,look,mad,mak,man,mean,mes,mor,much,n,no,off,oh,or,our,over,part,peopl,remember,right,said,say,se,ser,sh,should,sinc,sleep,sober,som,song,sound,start,sur,tak,talk,tel,text,than,the,their,them,then,ther,theyr,thing,u,ur,us,ver,wan,wasnt,way,weekens,wel,wer,wh,why,wil,would,ye,L
-0.13,0.67,0.125,0,0,1.126837,1.126837,0,0,0,1.126837,0,0,0,0,0,0,0,0,0,0,0,1.126837,0,0,0,0,0,0,0,0,1.126837,0,0,0,1.126837,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
-0.25,1,0.25,0,0,0.650579,0,0.650579,0.650579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650579,0,0,0,0,0.650579,0,0,0,0,0,0,0,1.951738,0,0,0.650579,0,0.650579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650579,0,0,0,0,0,0,0.650579,0,0,0,1.301159,0,0,0,0,0.650579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n
-0.45,0.85,0.45,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,1.703617,0,0,0,0,0.851809,0,0,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.703617,0,0,0,0,0,0,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851809,0,0,0,0,0,0,0,0,0,n
-0.09,0.57,0.094444,0.751224,0,0.751224,0,0,0.751224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751224,0,0,0,0,0.751224,0,0,0,0,0,0,0,1.502449,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751224,0.751224,0,0,0.751224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751224,0,0,0,0,0,0,0,0,0,0,0,y
0.07,0.85,0.06875,0.60232,0,0.60232,0,0,0.60232,0,0,0,0,0,0,0,0,0,0,0,0.60232,0,0.60232,0,0,0,0,0,0,0,0,0,0,0,0,0.60232,0,0,0,0,0,0,0,1.204639,0,0,0,0,0.60232,0,0,0,0,0.60232,0,0.60232,0,0.60232,0,0,0,0,0,0,0.60232,0,0,0,0,0,0,0.60232,0,0.60232,0,0,0,0,0,0,0,0,0.60232,1.204639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204639,0,0,0,0,n
-0.17,0.93,0.166667,0,0,0.563418,0,0,0.563418,0,0,0,0,0,0.563418,0,0,0,0,0,0,0,0.563418,0,0,0,0,0,0,0,0,0,0,0,0,0.563418,0,0,0,0,0,0,0,0,0,0,0,0,1.126837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126837,0,0,0,0,0,0,0,0,1.690255,0,0,0,0.563418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126837,0.563418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563418,0,0,0,0.563418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563418,0,0,0.563418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n
-0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204639,0,0,0,0,0,0,0,0,0,0,0,0,1.204639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204639,1.204639,0,0,0,0,0,0,0,0,1.204639,0,0,0,0,0,0,0,0,1.204639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
-0.15,0.65,0.15,0,0,0.851809,0,0,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,1.703617,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851809,0.851809,0,0,0,0,0,0,0,0,0.851809,0,0,0,0,0.851809,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,y
-0.25,0.53,0.25,0,0,0.822925,0,0,1.64585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822925,0,0,0,0,0,0,0,0,0,0,0.822925,0,0.822925,0,0,0,0,0,0,0,0,0.822925,0,0,0,0,0.822925,0,0,0.822925,0,0,0,0.822925,0,0,0,0.822925,0,0,0,0,0,0,0,0,0,0,0,0,0.822925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n
-0.5,1,0.5,0.712674,0,0.712674,0,0,0,0,0,0,0,0,0.712674,0,0,0,0,0,0,0,0.712674,0,0,0.712674,0,0,0,0,0,0,0,0,0,0.712674,0,0.712674,0,0,0.712674,0,0,0,0,0,0,0,0,0,0,0,0,0.712674,0,0,0,0,0,0,0,0,0.712674,0,0.712674,0,0.712674,0,0,0,0,0,0,0.712674,0,0.712674,0,0.712674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712674,0,0,0.712674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712674,0,0,0,0,0,0,0,0,0,0,0,0.712674,0,0,0,0,n
