sentiment_polarity,sentiment_subjectivity,absPolarity,Clean tweet,L
0.15,0.7,0.15, And yet sometimes its the drunk ones that always win those karaoke contests,n
-0.5,0.7,0.5,eventing 90 chance im still drunk from the weekend,y
-0.5,1,0.5,  LasVegas  im going to be drunk and chilling I do not care ,y
-0.2,0.95,0.2,1 time  and i got drunk at my place in cambridge and bussed to elements and were sober once we got there laterdayz,y
0.15,0.6,0.15, lol he names drop and snitches a lot OGs wouldnt agree Unless he asks for permission while they drunk,n
-0.2,0.85,0.2,Mr Fitz wasnt even surprised today when I admitted I was drunk when writing my homework,y
1,0.95,1, PunchDrunk Love passou num cinema,n
-0.5,0.7,0.5, hmmm there are laws against theft people still b stealing stuff Laws against DUI people still drive drunk Laws laws laws,n
0.05,1,0.05,Btw Spat2508 every Christmas from now own we must get drunk together,n
-0.25,0.95,0.25, Ive seen the video  I think thats was a joke I Actually do things like that with my bestfriend When Im drunk  But,y
-0.5,0.6,0.5,Your father turns into a gospel singer when hes drunk and they call him ntwana ko Tavern ,n
0,1,0,Kane88  OH MY GOD THERE ARE HOODIES NOW,n
-0.5,0.85,0.5,I miss the Facebook of 10 years ago Just college kidshaving funposting inappropriate drunk photos,n
0,0.95,0,pffft Marcie  You should read your timeline when you drunk tweet You love to brag about material things,n
-0.5,1,0.5,Nothing says Im over you quite like drunk texting AND calling at 1 in the morning on a TUESDAY,n
-0.5,0.55,0.5,My friend drunk at 12 oclock smh smh,n
-0.5,1,0.5, yeah hoe I tried to show you at Chris house and u were too drunk,n
-0.5,0,0.5,Did I even see you that nightUh yeah you ran and jumped on meDrunk me loves everyone ,n
0.26,1,0.255555556,Andrew and I always had the best drunk talks he would tell me Im too beautiful to deal with half of these lames hes such a sweet soul,y
0.1,0.8,0.1,Drunk girls would be amazing lawyers if they cared about laws amp freedoms as much as they cared about trying to convince people theyre sober,n
-0.13,1,0.125, i met a lot of twitter ppl and got drunk asf n hooked up with a really hot guy,y
0.05,1,0.05, or you know drunk off his ass or in his own world of wonder and childlike spirit,n
-0.5,1,0.5,How drunk do you have to be ,n
0,0.55,0,Okay but fr I just want to get drunk and not deal with my problems Wheres the whiskey at,y
0.17,1,0.166666667, k LOL Oh dear Weve all dated that type havent we I dated a guy who could only bowl when drunk   ,n
-0.5,1,0.5,lopez132 we getting drunk tonight ,y
-0.3,1,0.3,When you go into work and get written up for 3 different thingsthen get a trophy for a bowling game you were too drunk to participate in,y
0.5,1,0.5,I love being drunk,y
-0.5,0.8,0.5,andre got his while drunk too,n
-0.5,1,0.5,I wanna get drunk,y
-0.33,1,0.325,Very very drunk last night,y
-0.5,1,0.5,I just want to get drunk at this point ,y
-0.5,0.6,0.5, Ill get drunk with you over the mic hahahhahaa,n
0.25,0.58,0.25, I never drunk tweet,n
-0.5,0.93,0.5,Bitch you drunk,n
-0.6,1,0.6, thats why you drunk off me ugly ass,n
-0.2,1,0.2, couldnt do it last night all drunk Killed it just now in two tries,n
-0.25,1,0.25,With no self control anything is possible like me being drunk on a Wednesday,y
-0.5,1,0.5, is goals I wanna get wine drunk and complain about stuff at work  notopants,y
0.22,0.6,0.22,Drunk amp High Sex Got To Be The Best Sex Ever ,n
-0.36,0.75,0.3625,Jesus I have cried about 37 times today watching sad movies Being this poorly is awful  GET ME DRUNK hahaha Too emotional,n
-0.52,0.9,0.515625,Oh shit Lets get drunk in a tent TURNT IN A TENT shitMollysays roomiesatFireFly,n
-0.5,1,0.5,Lets be drunk,y
-0.5,0.67,0.5,tbststone well if one is going to be drunk they may as well go all out and be a damn drunkard,n
-0.5,0.6,0.5, Lets get drunk at Don and Millies,y
-0.17,1,0.166666667, a  i never get drunk enough smh next time,y
-0.5,1,0.5,Hes the drunk uncle who spiked the punch And dances with in a circle with two cups,n
0.25,0.53,0.25, Either way this gif describes me when drunk perfectlyalso robots,n
-0.25,1,0.25, I wish it was drunk tired Lol Not sleeping well is making my brain turn to mush Feel awful,n
-0.15,0.75,0.15,kinda really wanna be drunk,y
0.13,0.9,0.125,Words from a Honors Chemistry class Being emotionally unstable is awesome I got so drunk last weekend Can I see your paper,y
0.1,1,0.1,All I want to do is go and get Ali so drunk and we can have good times again,n
0,1,0,throwback to when I was drunk and cute ,y
-0.53,1,0.533333333, LMFAO makes sense I had a bad day and I was like fuck it Im getting drunk Now Im like ,y
0.2,1,0.2, a  sober or drunk u can catch me dancing lol but yes,y
-0.23,0.53,0.233333333,I miss Soph so fucking badly sometimes Agh Im so love drunk ,y
-0.02,1,0.01875,Taye Diggs did some dumb shit in every movie he was in He was drunk before his wedding cheated with his best friends fianc Cmon now,n
-0.5,0.37,0.5, remember that one time you were drunk as heck ,n
-0.5,1,0.5, now you being selfish we were drunk at Bray shower ,y
-0.25,1,0.25, yea the sport definitely left him punch drunk and financially uneducated Makes me sad,n
-0.08,1,0.083333333,I think the twitter simulator is similar except you get drunk first,n
-0.25,0.37,0.25,Forgot I got drunk last night,y
-0.5,1,0.5,Being drunk and having an overdraft is an accident waiting to happen,y
0,0.61,0,having a quiet one this weekend Ill no be drunk,n
0,0.81,0,  whats the name of the judge that is lenient on drunk drivers,n
-0.08,0.9,0.08,Also why he can only get drunk sluts at parties and  his snowball date didnt even wanna go with him lol such a bad ass,n
0.06,1,0.058928571,I enjoy messing with staff Oh you got drunk amp slept with him lets make things little more awkward by putting you on the same bar then lol,n
-0.15,1,0.15, haha remember when u tried to kick me out ur house when u were drunk af,n
-0.5,0.61,0.5, is drunk all he implies is DontApplyRule68,n
0.13,1,0.133333333,Ie Im good at shopping decorating eating complaining about my family and absolutely killing drunk Bruce Springsteen Christmas songs,n
0.25,0.5,0.25,Some of lifes best lessons are learned while watching yourdrunk friends cc  Mdumseni,n
-0.21,1,0.208333333, i saw the other day some guy was trying to open the exit door on a plane 1st they thought terrorist but he was just a drunk,n
-0.5,1,0.5,I want to go get drunk now,y
-0.15,0.85,0.15,Gave my baby some 2 milk this morning amp he drunk the whole bottle,n
-0.17,0.6,0.166666667, lmao crazy thing is I remember every time I was drunk as hell like it happened yesterday,y
0.27,1,0.266666667,   Just elbowing since Trump is drunk on touting even vote many times as desired polls if ahead lol,n
-0.5,0.5,0.5,  Is YouTube drunk again,n
-0.38,1,0.375,HongQiWei just lije when u said u werent drunk that day  ,n
-0.5,1,0.5, get your wallet stocked up It takes allot to get me drunk btw,n
-0.5,0.85,0.5,Getting drunk cokeXparis plushlounge 25 ghc This Friday 10pm ,n
-0.5,0.6,0.5, drunk hungover,n
-0.25,0.68,0.25,i wish i could sit next to you and we could get drunk together and watch the neon lights and talk about the universe and god and stars,y
-0.2,0.8,0.2,caba not on you seem like you were sober  was I that drunk smfh,n
-0.5,0.68,0.5,whenever niggaz tweet drunk sex  ,n
-0.25,0.8,0.25,I cant wait to overhear drunk white sorority bitches at Lucys ask brown dudes if they are ISIS,n
0.1,1,0.1,  i have Friday off So there is a good chance ill already be drunk,y
0.37,0.68,0.366666667,  met at a party I was drunk and totally impressed by her And to be honest I wanted to try Something else And it ,y
-0.5,0.8,0.5,Still drunk,y
-0.5,0.76,0.5, get drunk,n
0.2,0.63,0.197222222, TSN is flatout better imo but Im easily charmed by drunk jackasses OWL is best if youre interested in Xn youth amp depression,n
-0.33,0.76,0.333333333,at Home Depot just pulled half a 30 rack out of my drunk and gave it to a group of day workers because fartdaughter is for the people,n
-0.45,0.65,0.45, 510am still tired 700am feel drunk  300pm screw it I am going fishing,n
-0.5,1,0.5,Any talk about Luke Falk and the Heisman is drunk talk since it will never happen,n
-0.5,1,0.5,dese substitute teachers be having be drunk af,n
0,1,0,What I learned in drug psychology today how many drinks I should drink per hour to stay drunk all night ,n
0.05,0.5,0.05,My daddy said Im still drunk lmao,y
0.05,0.58,0.053333333, I wasnt drunk LOLmaybe high but its OK,n
-0.35,0.53,0.35,Im not perfect but Im always realreal drunk but real,y
-0.5,1,0.5,  if i ever got drunk that would be us,y
0.05,0.33,0.05, lmao Lmfao Ya drunk ,n
-0.5,1,0.5, I get drunk on jealousy,n
-0.5,0.95,0.5,No refusal means cops will draw blood if they think ur drunk   ,n
-0.5,0.77,0.5, Im not bisexual and Ive kissed my bestfriend at some party When I was drunk  But Even if Nikki Is It doesnt make her a,n
-0.5,1,0.5,60 milion Euro per AubameyangDortmund go home youre drunk,n
0,0.33,0,I woke up up still drunk drunk on your love love,y
-0.5,0.95,0.5,Its 1254 and I just wish I was drunk,n
0.1,0.77,0.1,I know my ass gone be drunk I wanna feel good just like its my birthday,y
0,1,0, yeah,n
-0.5,0.62,0.5,Austin is drunk texting me at 12pm,n
-0.17,0.65,0.166666667,definitely got too drunk last night ,y
-0.5,1,0.5,Bless your soul if I have ever called you drunk,n
-0.5,0.95,0.5,I didnt even get drunk tho ,n
0.15,0.83,0.15,I memba one time I was drunk to death and  I almost put diesel in my tank lol,y
-0.27,0.65,0.266666667,When youre drunk as fuck but trying to act sober so the bouncer will let you in ,y
-0.41,0.63,0.4125, I was very drunk last time we metSorry Magnus Really sorry ,y
-0.4,1,0.4,Instead of writing essays tonight Im going to get drunk with Courtney why is she such a bad influence,y
-0.15,0.7,0.15,Really feel like getting drunk ,y
