,id,url,sentiment_polarity,abs Polarity,Clean tweet,sentiment_subjectivity,tweet,now
0,667348283547910144,0.0,0.0,0.0,Hegedu DANG drunken stumbling maybe,0.0,@Nyil_Hegedu DANG... drunken stumbling maybe?,"November 19, 2015"
0,667348283547910144,0.0,0.0,0.0,Hegedu DANG drunken stumbling maybe,0.0,@Nyil_Hegedu DANG... drunken stumbling maybe?,"November 19, 2015"
0,667348008342790144,0.0,0.0,0.0,Ape nah you just tryna rush me to my death smh,0.0,@Drunken_Ape nah  you just tryna rush me to my death smh,"November 19, 2015"
0,667348006153420801,0.0,0.0,0.0, I expect a drunken AMA,0.0,@LoganRogerss I expect a drunken AMA!,"November 19, 2015"
0,667347560667947008,0.0,0.25,0.25,Gah reminded again how glad I am to be rid of my ex by drunken texts at 6am on InternationalMensDay Blocksville next station stop,0.5,Gah  reminded again how glad I am to be rid of my ex by drunken texts at 6am on #InternationalMensDay. Blocksville  next station stop.,"November 19, 2015"
0,667347390324736000,0.0,0.0,0.0,Ape u didnt even tell me,0.0,@Drunken_Ape u didn't even tell me,"November 19, 2015"
0,667347161064017920,0.0,0.17,0.166666666667, is still losing more games than a drunken Russian He needs to be more decisive imo more ruthless and he 100 needs to shoot more,0.5,@EH10Goat is still losing more games than a drunken Russian? He needs to be more decisive imo  more ruthless and he 100% needs to shoot more,"November 19, 2015"
0,667346973914226688,0.0,0.0,0.0, Im tweeting from the future,0.13,@212Lurky I'm tweeting from the future,"November 19, 2015"
0,667346600763613186,0.0,0.0,0.0, you feature with your drunken dance moves ,0.0,@SheaIsobel you feature with your drunken dance moves 💃🏻,"November 19, 2015"
0,667346373377925120,0.0,0.57,0.566666666667,Ape good looks crimey appreciated tho its tomorrow lol,0.47,@Drunken_Ape good looks crimey  appreciated  tho it's tomorrow lol.,"November 19, 2015"
0,667346158684016641,0.0,0.46,0.458333333333,I got a feeling that Lindsay Graham has had many drunken nights in gay bathhouses,0.54,I got a feeling that Lindsay Graham has had many drunken nights in gay bathhouses.,"November 19, 2015"
0,667348283547910144,0.0,0.0,0.0,Hegedu DANG drunken stumbling maybe,0.0,@Nyil_Hegedu DANG... drunken stumbling maybe?,"November 19, 2015"
0,667348008342790144,0.0,0.0,0.0,Ape nah you just tryna rush me to my death smh,0.0,@Drunken_Ape nah  you just tryna rush me to my death smh,"November 19, 2015"
0,667348006153420801,0.0,0.0,0.0, I expect a drunken AMA,0.0,@LoganRogerss I expect a drunken AMA!,"November 19, 2015"
0,667347560667947008,0.0,0.25,0.25,Gah reminded again how glad I am to be rid of my ex by drunken texts at 6am on InternationalMensDay Blocksville next station stop,0.5,Gah  reminded again how glad I am to be rid of my ex by drunken texts at 6am on #InternationalMensDay. Blocksville  next station stop.,"November 19, 2015"
0,667347390324736000,0.0,0.0,0.0,Ape u didnt even tell me,0.0,@Drunken_Ape u didn't even tell me,"November 19, 2015"
0,667347161064017920,0.0,0.17,0.166666666667, is still losing more games than a drunken Russian He needs to be more decisive imo more ruthless and he 100 needs to shoot more,0.5,@EH10Goat is still losing more games than a drunken Russian? He needs to be more decisive imo  more ruthless and he 100% needs to shoot more,"November 19, 2015"
0,667346973914226688,0.0,0.0,0.0, Im tweeting from the future,0.13,@212Lurky I'm tweeting from the future,"November 19, 2015"
0,667346600763613186,0.0,0.0,0.0, you feature with your drunken dance moves ,0.0,@SheaIsobel you feature with your drunken dance moves 💃🏻,"November 19, 2015"
0,667346373377925120,0.0,0.57,0.566666666667,Ape good looks crimey appreciated tho its tomorrow lol,0.47,@Drunken_Ape good looks crimey  appreciated  tho it's tomorrow lol.,"November 19, 2015"
0,667348283547910144,0.0,0.0,0.0,Hegedu DANG drunken stumbling maybe,0.0,@Nyil_Hegedu DANG... drunken stumbling maybe?,"November 19, 2015"
0,667348008342790144,0.0,0.0,0.0,Ape nah you just tryna rush me to my death smh,0.0,@Drunken_Ape nah  you just tryna rush me to my death smh,"November 19, 2015"
0,667348006153420801,0.0,0.0,0.0, I expect a drunken AMA,0.0,@LoganRogerss I expect a drunken AMA!,"November 19, 2015"
0,667347560667947008,0.0,0.25,0.25,Gah reminded again how glad I am to be rid of my ex by drunken texts at 6am on InternationalMensDay Blocksville next station stop,0.5,Gah  reminded again how glad I am to be rid of my ex by drunken texts at 6am on #InternationalMensDay. Blocksville  next station stop.,"November 19, 2015"
0,667347390324736000,0.0,0.0,0.0,Ape u didnt even tell me,0.0,@Drunken_Ape u didn't even tell me,"November 19, 2015"
0,667347161064017920,0.0,0.17,0.166666666667, is still losing more games than a drunken Russian He needs to be more decisive imo more ruthless and he 100 needs to shoot more,0.5,@EH10Goat is still losing more games than a drunken Russian? He needs to be more decisive imo  more ruthless and he 100% needs to shoot more,"November 19, 2015"
0,667346973914226688,0.0,0.0,0.0, Im tweeting from the future,0.13,@212Lurky I'm tweeting from the future,"November 19, 2015"
