Document,Class
got my first speeding ticket ln at 344 AM amp I was drunk af,y
  I was only in it to get Jobs Daughters drunk I am an Atheist I brought blender to the parties and bartended,n
 lmfao I wasnt drunk you fool  It was like 4 AM I was tired,n
A year ago today I started my third freshers week and was getting very drunk Tonight I am folding my clean washing graduateproblems,y
And the only accurate part of your tweet was hes a drunk who doesnt know who I am Youre not disappointed You dont know me ,n
Lars took over the DJ booth and was drunk off his butt  He was teaching me Dutch  I am sure what he was telling me the wrong words ,n
Imagine I was still drunk telling you this stuff,y
 haha I was in baddd condition this morning Undoubtedly still drunk when I went into work at 8 AM ,y
Everyone on my snapchat was apparently drunk last night And here I am wellrested and shit,n
im sorry but any football fan who thinks it was NOT a touchdown for the 49ers has no idea what theyre watching or am i drunk,n
 have a little faith I was good when I played w JZ The more drunk I am the better I play lmao amp the wall shot was unbelievable,y
no matter how much shit youre in you never leave a drunk friend alone out i am disgusted by how i was treated by my friend,y
 damn I was pretty drunk when I responded to this amp what an idiot I am That made no sense haha,y
 oh I am I really fucking am I was too drunk to do anything last night but today I got time cuhs Lol,y
 Am I drunk I SWEAR THAT WAS JUST TEA,n
Its brewfest in WoW and I was also in queue for heroics I am 100 blurry screened drunk and I cant see shite ayy lmao,y
Got drunk last night and ended up sleeping in my aunt driveway until I was able to drivel,y
and i fell asleep at 4 am Besides the night before i went out and i was kinda drunk so i slept nothing too,y
I am no mortal man alcohol has no effect on me  Max Keenan Sept 19Holy fuck I was so drunk last night     Max Keenan Sept 20,n
I was so drunk last night I slept in my aunts driveway Woke up around 7 and managed to drive home,y
i was honestly afraid something might happen on my way home bc its dark and there are a bunch of drunk ppl at the beach but here i am,n
Ash was so drunk last night that she started eating grapes with ranch I am done,y
I was to drunk last night that I knocked out on the bus stop Woke up at 6 am to take uber home lmfao,y
I had a drunk old lady yell at me while I was running telling me that I am not pretty,n
  was meant to say I am not drunk how dare you,n
 i was gonna walk back drunk at 4 am but then someone gave me a free promo code,y
 I even told eunice  I was like does she look like marina or am I just drunk  Shes like oh shot she does,n
What am I seeing David Cameron had sex with a dead pig Wow I feel better after all the ugly girls I picked up when I was drunk,y
I was drunk af yesterday to the point I didnt think I could drink today but here I am drink in hand ,y
jenny if the question was what am I Id have to say drunk,y
all JaQwun did was make me laugh  bully me  amp peer pressure me to get drunk oml he turned me into the alcoholic i am today RIPJQ,y
Stephen was drunk as fuck and said HOOOOOKAY Im like  Am I back in Hawaii u fucking idiot,n
Getting drunk before trying to do homework was definitely not on the agenda tonight but I guess its happening,y
z94 omg dont be I was being a drunk brat last night I didnt even know I tweeted thisI am not even mad about it ,y
Good morning so I dreamed that I was watching South Park till 325 am while beeing drunk What,y
I do so much random shit I was DJn on Saturday  amp my boss got me drunk amp I havent slept in 24 hours  What am I doing,y
Can I just say how happy I am that drunk history was nominated for an Emmy,n
I started singing the Arthur theme song for no apparent reason and Taylor thought I was drunk but I am not,n
  look I am drunk and an unrepentant ambrollins shipperIt was bound to happen,y
Wow I was extremely drunk last night and I am sore everywhere and have bruises everywhere and I dropped my phone on my face wow,y
On Sat some drunk dude okay am assuming his was  Stood in middle of the road n peed uncircumcised dick n all I wanted to run him over ,n
When I enrolled last year I was in the exact same position as what I am now  still drunkhungover ,y
Getting almost black out drunk the night before work was such a bad decision I am dying,y
im never getting drunk again i was supposed to go home straight from bloc bar and here i am fucking drunk at 8am i wanna kill myself wtf,y
I was out until 4am Sunday morning and got drunk KFC I am still feeling that in my stomachMoral of the story How good is KFC,y
I was literally drunk for 95 of second year and idk who I am anymore lol its probably an improvement really isnt it,y
Just caught up with 4Corners Am I the only one who thought Costello grew progressively drunk He was bloody hilarious,n
 I am fully willing to admit I got drunk because Im am idiot Was not aware Not Your Fathers Rootbeer was beer until 3 deep,y
 he was drunk and shouting and waving his arms aggressively like i dont have a baby i am a baby,n
I spent 70 at Phils In case you were wondering just HOW drunk I was  still am,y
Am I the only one that thinks that tape was alright was expecting a little better ,n
Woke up for my 8 AM thinking I was still drunk HappyMonday,y
 I am first to admit that game was like watching 2 drunk elephants try to have sex and we have no good players on offense,n
