sentiment_polarity,sentiment_subjectivity,absPolarity,L,so,we,last,for,drunk,i,when,am,fuck,up,this,as,im,at,my,night,got,still,was,think,out,getdrunk,imdrunk,stilldrunk,gotdrunk,yourdrunk,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.13,0.67,0.125,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,2.0679832275100067,1.3722191192654651,-0.042882569415840094,0.057043049727734704,-0.36537621563163347,0.8045501457972453,0.8393491571553015,0.09175364813535236,-0.260016712849165,0.5096991317152594,-0.9583613851442573,0.554628446488485,0.2969854148962527,-0.019677632031623333,0.3003880770193278
-0.09,0.57,0.094444444,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,2.0143129713053254,1.0955361004200768,-0.06808010569245063,0.546766522381489,0.5962988921007194,-0.031445233532173385,0.8335005471315595,0.3156883557243173,-0.3038458115595089,-0.13761248280388869,-0.31526289545792247,-0.07296316852196946,-0.14448716479489035,0.007799771530334487,-0.29807619623572595
-0.5,1.0,0.5,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,2.183462085608975,0.7341849414302501,0.0790517459320262,-0.04019636144159011,-0.37577966449825123,-0.4421366324029316,-0.10158479391322522,-0.7038701088138349,-0.8134428571518689,0.1601459429189002,0.4564046120321963,-0.19108624936611096,-0.7927722835730449,0.3179352412149888,0.155381385510476
-0.15,0.65,0.15,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,2.088338479581973,1.2625756078784278,0.1692222843486873,-0.3676577002311675,-0.12271316346952728,-0.722620778945015,0.7300120898811178,-0.5052092074643482,-0.6852274329380919,1.0011156993335404,0.6334669673731366,0.16977817496562342,-0.24695711006468266,0.43050478814861626,0.8209836450221849
0.19,0.73,0.187946429,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.8973013913138763,1.1941616978645127,0.04617684758057038,-0.3164949803597752,0.06508662043471787,-0.6431068952820693,0.37871757093830877,0.10582784355477907,0.46134323242347547,0.38925680489416775,-0.06673916694021363,-0.022668207288219642,-0.00952011858647117,0.42487874833422506,-0.056830589465173505
-0.57,0.93,0.566666667,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,2.3030982158823154,1.0010504908145625,-0.21320109665454612,-0.23234036570522482,-0.10516473255293791,0.008650742851052712,0.8451897517534969,0.02242806517004504,0.05962448476080398,-0.002261827341272102,-0.29080957404484276,-0.0194043387065703,-0.18598343222275496,-0.2973633321106547,-0.5017385969846058
-0.21,0.77,0.2125,True,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.0416355092881266,1.1561727423679484,-0.017395802145274426,-0.3099744467358719,0.11081992175897154,-0.681492898981275,0.3170556559928553,-0.005474131530286615,0.3006865940025449,0.25682546904902903,0.020160323234456455,0.03272824374283195,-0.4764223197466038,0.8117813663692041,0.553523686196783
-0.08,0.64,0.075,True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,2.003799099974478,1.5270177614869536,-0.0019704048376437615,0.15864302359404778,-0.7198265539741456,0.4721713312349236,-0.6301832216047183,1.0354733277861052,-0.24669068146875317,0.7037735604807223,-0.49244141938436753,0.11144384981013691,-0.0754665033434069,0.03703967934522623,0.12059709348283082
0.07,1.0,0.066666667,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.003812759398406,1.1357018092039497,-0.04660009152676868,-0.22357525229560846,0.04411543423519279,-0.47951754211217834,0.18194605236856154,0.03872351182595527,-0.19639306628124056,-0.2365153679960498,-0.3187677995674189,0.34572165636490965,0.0931203331011848,0.41786137579506744,-0.586080253826907
0.0,0.56,0.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,1.9541016974950645,1.3882665755278605,0.10607567679897185,0.4492184445585944,-0.8515148466362863,1.347374627556859,-0.11094766521357514,0.8705456520520519,-0.0076798374897517315,0.3088572798352943,-0.08795815946263293,-0.2541554699867204,-0.1666126396480882,0.05348635184660009,-0.1299794528532851
