sentiment_polarity,sentiment_subjectivity,absPolarity,L,last,drunk,i,am,im,night,got,still,was,getdrunk,imdrunk,stilldrunk,gotdrunk,yourdrunk,0,1,2,3,4,5,6,7
-0.13,0.67,0.125,True,False,True,True,True,False,False,True,False,True,False,False,False,True,False,1.9434601965761231,1.2904855074825674,-0.009581492593982412,-0.01593546521346648,-0.33873377157701706,0.45599965135385007,-0.15452316930096588,0.305581486542427
-0.09,0.57,0.094444444,True,False,True,True,True,False,False,False,False,True,True,False,False,False,False,1.9464835852122262,1.0577156803016454,-0.06286230089640618,0.5751861846610361,0.5576592126338844,-0.5642268315592776,-0.38398987457593686,0.27790048969066977
-0.5,1.0,0.5,True,False,True,True,False,False,False,False,True,True,False,False,True,False,False,2.1656800194614654,0.7543997629526554,0.11898413659026709,-0.08521691449397602,-0.4471374301195518,-0.3991081772441888,0.5908529245302444,0.8806020222193524
-0.15,0.65,0.15,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,1.9383692666644685,1.2315418499875366,0.21688478020359983,-0.16614317166378897,-0.2513893902963638,-0.5880055703368439,0.3613496950443404,1.2258883827754434
0.19,0.73,0.187946429,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.852122360779845,1.238952799479622,0.0549447334403103,-0.14110042361123462,0.05022327127607608,-0.4791370672626368,-0.0840652613912951,0.024279327590515803
-0.57,0.93,0.566666667,True,False,True,True,True,False,False,False,False,True,False,False,False,False,True,2.2124096576626946,0.9648692060157985,-0.20272265078429302,-0.2574631432264611,-0.032741362893513,-0.6075111719784766,-0.015381847648504313,0.15743937405120875
-0.21,0.77,0.2125,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9478401984842248,1.1700040542329235,0.00013518668968141504,-0.14664652130185007,0.007885993707211544,-0.5309608117735424,-0.024072511906735903,0.0062707393435325175
-0.08,0.64,0.075,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,2.002645798238563,1.578425195956848,0.018807322229845345,0.014811964673684369,-0.6543807207566539,0.9462305882060895,-1.0098650755283631,0.3185910121441139
0.07,1.0,0.066666667,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9880587741124587,1.1748767133785711,-0.0005330445305090667,-0.18383300938207145,0.03479413372465897,-0.4908919987016369,-0.057281993783179226,0.006455840651510371
0.0,0.56,0.0,True,True,True,True,False,False,True,True,False,True,False,False,False,True,False,1.8456458755706082,1.320037424813191,0.10103089966255056,0.18238592170828663,-0.7668253831498997,1.234179376583436,-0.9312351299776308,0.04540317644071883
-0.5,1.0,0.5,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,2.2252509570252412,1.163200168334251,-0.10796213748198315,-0.17053883774470777,-0.21116107895559358,-0.35054101264537196,-0.3506109772238012,-0.029154670061606106
-0.25,0.53,0.25,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,1.8456701283800467,1.184384287741776,0.10135244548798007,0.07017662682917877,-0.4411315802871783,0.2165050471726677,-0.7705464318931027,-0.25902557388843933
-0.25,0.53,0.25,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,1.9319999445923735,1.4829232862539445,0.05220933558601456,-0.08140810720904572,-0.31342044858628115,-0.05335287375134986,-0.876742221661101,0.027341293273961963
-0.25,0.53,0.25,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,1.9319999445923735,1.4829232862539445,0.05220933558601456,-0.08140810720904572,-0.31342044858628115,-0.05335287375134986,-0.876742221661101,0.027341293273961963
-0.03,0.6,0.033333333,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.7918814189096368,1.2593926858064575,0.07362837237605961,-0.11208741250577069,0.042439156293313955,-0.48965930902260524,-0.08642711194906509,0.0357552257371908
-0.16,0.78,0.16,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.933558160552045,1.181740972193376,0.009159840160234576,-0.146987742942315,0.01540930403048353,-0.5207854689752183,-0.03625200232078913,0.010218427578079862
-0.5,1.0,0.5,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,2.176170888704867,1.0364687827221484,-0.109189935918608,-0.1945955406547488,-0.04600637249389844,-0.596237549033816,0.07204193802419663,-0.03779060590141588
-0.5,1.0,0.5,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,2.176170888704867,1.0364687827221484,-0.109189935918608,-0.1945955406547488,-0.04600637249389844,-0.596237549033816,0.07204193802419663,-0.03779060590141588
-0.15,0.53,0.15,True,False,True,True,True,False,False,False,False,True,True,False,False,False,False,1.9476223794622523,1.0512189343978764,-0.06718849919028998,0.58074322284234,0.5501466861279648,-0.5750746856500966,-0.37297678183475547,0.27574545999024125
-0.25,0.75,0.25,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,2.0129708361373937,0.6734225283569542,-0.08455061762872255,0.6911079551012863,0.39831911788343677,-0.33154363394119174,-0.22005986533780889,-0.03668259395900666
-0.38,0.69,0.375,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,2.0629925170562493,1.4102003435373374,-0.008000564280917756,-0.1127493647122722,-0.33957580618143185,-0.0838083533535554,-0.8286884214960352,0.003438429875837947
0.1,0.8,0.1,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.8861569394030766,1.2216588981244028,0.040061314743864034,-0.15002438168786383,0.043644301589087484,-0.48467488090645705,-0.07629227482539265,0.020926167857923547
-0.4,0.77,0.4,True,False,True,True,True,False,False,True,False,True,False,False,False,True,False,2.098502859995388,1.1920232473539478,-0.08884674818584393,-0.040809576249679375,-0.3848780071471834,0.39765665157500896,-0.07505968249480427,0.2729126728488194
-0.5,1.0,0.5,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,2.176170888704867,1.0364687827221484,-0.109189935918608,-0.1945955406547488,-0.04600637249389844,-0.596237549033816,0.07204193802419663,-0.03779060590141588
-0.08,0.77,0.075,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,1.9907022358025217,1.4739001851886817,0.04047663550145423,-0.11878586348326875,-0.2960699694970027,-0.0245320330223478,-0.897994152071621,0.02472187436350111
0.08,0.15,0.083333333,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,1.0225785096830375,1.7044955494491778,0.4632829554322538,0.0805542541992522,-0.16061870800894695,-0.3400581705912924,-0.22282506322328322,0.6773718950315062
-0.34,0.65,0.34166666700000003,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,2.1310986288311864,1.0972365520214455,-0.1316735395088473,0.5786572930960133,0.3506911533994421,-0.3716023630587551,-0.7351878854512713,0.25768287758969827
-0.33,0.85,0.325,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,2.414622540054635,0.5398331146264899,0.9359838744956138,0.07194802358819605,1.01810924156591,-0.44132029296346276,-0.5031692764044592,0.2720262914946731
0.07,0.62,0.066666667,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,1.9465356965550318,1.3546799396917517,0.20785512008817061,-0.048624902579311735,-0.5871921269237721,0.413798927214757,0.21952388435918546,1.5243074858345067
0.13,0.47,0.125,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.7153175887732153,1.300141925499953,0.10807201738489348,-0.0931624230087917,0.05803627266230031,-0.47430553906631834,-0.10878171035284112,0.04587293020826266
-0.24,0.64,0.235,True,False,True,True,True,True,False,True,False,True,False,True,False,True,True,2.2505303805236987,0.8107533995307145,0.986567960771761,-0.5350665098317069,0.17469072336029443,0.6139018103115342,-0.4338367376953474,0.5309445133017795
-0.3,0.55,0.3,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,1.943481066420359,1.213805905994426,0.20489254398042633,-0.1526089895127095,-0.27080364866994505,-0.6160460855850811,0.3902573454987899,1.2198601834402156
-0.5,1.0,0.5,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,2.25200983567379,1.0529387614648247,0.0698410266882945,-0.2368016485321956,-0.31942629841864545,-0.6689660981682002,0.4846571347622441,1.1669688893817547
-0.25,0.53,0.25,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,1.9319999445923735,1.4829232862539445,0.05220933558601456,-0.08140810720904572,-0.31342044858628115,-0.05335287375134986,-0.876742221661101,0.027341293273961963
-0.18,0.68,0.18095238100000002,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,2.1304136157806863,1.2746837011067975,-0.09292115476888493,0.5777828679768962,0.21499642485994847,-0.10609068641618852,-1.1904409221732555,0.2675435572388082
-0.08,0.78,0.083333333,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9039261197028405,1.2032976757374256,0.02608833392651245,-0.14496600162192083,0.027652501391427685,-0.5046866627004173,-0.05636379794568804,0.01734218895038762
0.26,0.82,0.2625,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9016146529039681,1.2175984397140571,0.0363873292538871,-0.1596741091240497,0.04935976170839183,-0.4791858339381743,-0.07551872922605019,0.015426079756890346
-0.2,0.6,0.2,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.8556138804833493,1.21308043903398,0.03725817320786506,-0.11650457730109831,0.01620874393958813,-0.5241800693637136,-0.043225511218152,0.02040102185513951
-0.25,0.83,0.25,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.993519698669031,1.1452237816044808,-0.020487168298359257,-0.1581464437218991,-0.0005267942694916062,-0.5405387938059935,-0.00837451818698719,-0.0018566173555065674
0.17,0.6,0.166666667,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.7840471370435753,1.26958262250921,0.0815299439035793,-0.11751664939065803,0.05453359107652081,-0.4763480367736656,-0.09649022771050925,0.034826343496534254
0.07,0.64,0.065,True,False,True,True,True,False,True,False,True,True,False,False,True,False,True,1.9730392500485219,1.333726255299779,0.16032857477945886,-0.21221366338624514,-0.3684279621731274,-0.3072856294240453,-0.2002645359033271,1.4436853073369635
-0.5,1.0,0.5,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,2.176170888704867,1.0364687827221484,-0.109189935918608,-0.1945955406547488,-0.04600637249389844,-0.596237549033816,0.07204193802419663,-0.03779060590141588
-0.23,0.41,0.225,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,1.8122561567971522,1.3905934218578981,0.08032417673637746,-0.08373934225804691,-0.1401953282114841,-0.2913459566837991,-0.4713295173136719,0.03004967179245439
-0.12,0.5,0.12121212099999999,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.773827231223865,1.2584456706194393,0.07482192355401238,-0.09688785701077887,0.032470542322686646,-0.5052427171847573,-0.07317514937016006,0.035336289232801486
-0.25,0.5,0.25,True,False,True,True,True,False,False,False,False,True,False,False,False,False,True,1.869437551972824,1.1535908588023416,-0.04618400299214677,-0.17368942115291483,0.033561470890045984,-0.5308373662857634,-0.13824049652841666,0.2195745629612123
-0.33,0.7,0.328125,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9562100911142444,1.154051263323437,-0.011036321286528816,-0.13743070579006583,-0.007785968672831726,-0.5532969015804199,-0.0005302299910926456,0.0009315055426944692
0.0,1.0,0.0,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,2.221031441194343,0.7867270525056992,1.1056597293161974,-0.629368296017302,0.5398253920781048,-0.3151886821156911,-0.26262929413624664,0.04499296542809289
-0.43,0.69,0.433333333,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,2.0836358059365656,1.3953267044734856,-0.019684067145722604,-0.11434896552445259,-0.347821187787503,-0.09473343233662289,-0.8148295629797058,-0.0016145070270644096
-0.5,1.0,0.5,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,2.176170888704867,1.0364687827221484,-0.109189935918608,-0.1945955406547488,-0.04600637249389844,-0.596237549033816,0.07204193802419663,-0.03779060590141588
-0.25,0.81,0.25,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.9831752517120396,1.1499284405486678,-0.016405047075688434,-0.15464113280003883,0.00025275905338575656,-0.5400062455002063,-0.010289589798102237,-0.0003187763859694147
0.08,0.96,0.083333333,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,2.044855445852988,1.199920835494096,0.18599817262672846,-0.21962252924169237,-0.23703161173018092,-0.5627186796559451,0.3522373307230277,1.213668011168698
0.0,0.75,0.0,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,2.0053960380196254,0.5469962907958684,1.2058293545015488,-0.433967175455824,0.4218586769131748,-0.038673907369332454,-0.18037189950718724,-0.22215088961509424
-0.5,1.0,0.5,True,False,True,True,True,False,False,False,False,True,True,False,False,False,False,2.323329630213521,0.8443878922100423,-0.23872498004162043,0.48905288044277084,0.47743245806841783,-0.6592305033161809,-0.2381789124501628,0.20759892077933725
-0.22,0.47,0.218518519,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.7956508713855206,1.2383587008623254,0.059628480873514106,-0.09420458420722963,0.018251962802080142,-0.524689488971186,-0.050725731328014556,0.028653417591410484
