,id,url,sentiment_polarity,abs Polarity,Clean tweet,sentiment_subjectivity,tweet,now
0,667688391136296960,0.0,0.25,0.25,The time you enjoy wasting is not wasted timeOTWOLBackslide,0.25,"The time you enjoy wasting is not wasted time.

#OTWOLBackslide","November 20, 2015"
0,667688391136296960,0.0,0.25,0.25,The time you enjoy wasting is not wasted timeOTWOLBackslide,0.25,"The time you enjoy wasting is not wasted time.

#OTWOLBackslide","November 20, 2015"
0,667688255039647744,0.0,-0.28,0.275,  Totally incompetent wasted my time and WAS NOT helpful in  any way,0.18,"@rosterloh@rosterloh  
Totally incompetent  wasted my time and WAS NOT helpful in  any way...","November 20, 2015"
0,667688251663253504,0.0,0.0,0.0,I wonder how much of my life I wasted playing video games,0.1,I wonder how much of my life I wasted playing video games.,"November 20, 2015"
0,667688222869229568,0.0,-0.2,0.2, a wasted life why ,0.0,@theheraldsun a wasted life why ?,"November 20, 2015"
0,667688162580369408,0.0,-0.02,0.0166666666667,Wasted my time on that book I want to read something that is realistic Let me download another book Suggestions,0.17,Wasted my time on that book. I want to read something that is realistic. Let me download another book.... Suggestions💁,"November 20, 2015"
0,667688403614498816,0.0,-0.2,0.2,Never wasting time thats just money wasted ,0.0,Never wasting time that's just money wasted 💯,"November 20, 2015"
0,667688391136296960,0.0,0.25,0.25,The time you enjoy wasting is not wasted timeOTWOLBackslide,0.25,"The time you enjoy wasting is not wasted time.

#OTWOLBackslide","November 20, 2015"
0,667688255039647744,0.0,-0.28,0.275,  Totally incompetent wasted my time and WAS NOT helpful in  any way,0.18,"@rosterloh@rosterloh  
Totally incompetent  wasted my time and WAS NOT helpful in  any way...","November 20, 2015"
0,667688251663253504,0.0,0.0,0.0,I wonder how much of my life I wasted playing video games,0.1,I wonder how much of my life I wasted playing video games.,"November 20, 2015"
0,667688222869229568,0.0,-0.2,0.2, a wasted life why ,0.0,@theheraldsun a wasted life why ?,"November 20, 2015"
0,667688403614498816,0.0,-0.2,0.2,Never wasting time thats just money wasted ,0.0,Never wasting time that's just money wasted 💯,"November 20, 2015"
0,667688391136296960,0.0,0.25,0.25,The time you enjoy wasting is not wasted timeOTWOLBackslide,0.25,"The time you enjoy wasting is not wasted time.

#OTWOLBackslide","November 20, 2015"
0,667688255039647744,0.0,-0.28,0.275,  Totally incompetent wasted my time and WAS NOT helpful in  any way,0.18,"@rosterloh@rosterloh  
Totally incompetent  wasted my time and WAS NOT helpful in  any way...","November 20, 2015"
0,667688251663253504,0.0,0.0,0.0,I wonder how much of my life I wasted playing video games,0.1,I wonder how much of my life I wasted playing video games.,"November 20, 2015"
0,667688222869229568,0.0,-0.2,0.2, a wasted life why ,0.0,@theheraldsun a wasted life why ?,"November 20, 2015"
0,667688403614498816,0.0,-0.2,0.2,Never wasting time thats just money wasted ,0.0,Never wasting time that's just money wasted 💯,"November 20, 2015"
0,667688391136296960,0.0,0.25,0.25,The time you enjoy wasting is not wasted timeOTWOLBackslide,0.25,"The time you enjoy wasting is not wasted time.

#OTWOLBackslide","November 20, 2015"
0,667688255039647744,0.0,-0.28,0.275,  Totally incompetent wasted my time and WAS NOT helpful in  any way,0.18,"@rosterloh@rosterloh  
Totally incompetent  wasted my time and WAS NOT helpful in  any way...","November 20, 2015"
