Clean tweet,L,absPolarity,sentiment_polarity,sentiment_subjectivity,tweet,url,and,all,love,just,drunk,is,am,as,at,have,in,go,still,your,for,that,when,to,got,you,was,be,we,do,get,fuck,not,amp,with,he,a,on,last,like,of,up,this,night,the,think,are
Just cause Im pregnant and single doesnt mean Im gonna fulfill your pregnancy fantasies My situation doesnt not translate to desperate,True,0.16,-0.16,0.6,,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ion never be really hungry through out this whole pregnancy but the last 2 days  Omg ,True,0.13,0.13,0.22,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
so sick of going through this pregnancy on my own,True,0.02,0.02,0.93,,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
think i just got a prank call saying apparently i took a pregnancy test a month ago and it came back positive lmao yh makes sense mate,True,0.22,0.22,0.47,,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
like wayyy too many hours amp now that Im this far along in my pregnancy I dont want it anymore Im too tired,True,0.07,0.07,0.73,,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
Tomorrow ill be 19 weeks Then next week ill be 20 Thats already half way through my pregnancy Oh my where is the time going,True,0.29,-0.29,0.54,,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
I felt Lucys pregnant belly today for the first time but I didnt feel her baby kick ,True,0.29,0.29,0.42,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
 Im your girlfriend that so happen to be pregnant with your child not your Babymomyoo I say this all the fuckin time,True,0.33,0.33,0.5,,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
I still cant believe Naya is pregnant omg,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yesterday watching Catfish I said it was crazy how a female could not know she was pregnant I thought it was impossible lol,True,0.03,-0.03,0.65,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Ally is gonna be a real life mom in 17 days or less and I still dont even believe that shes really pregnant ,True,0.12,0.12,0.29,,0.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Stg Im like pregnant Phoebe,True,0.33,0.33,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
I found out I was pregnant 3 weeks after I posted this ,True,0.42,0.42,0.5,,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
First of All I want my baby to be planned but When I tell you Im pregnant you better be happier than me Or we going to the chop Shop,True,0.36,0.36,0.44,,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
So Ive been with my man since May I lost my virginity to him and now Im pregnant Hes semiabusive if I set ,True,0.33,0.33,0.5,,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
