sentiment_polarity,absPolarity,Clean tweet,sentiment_subjectivity,tweet,L,and,all,love,just,drunk,is,am,as,at,have,in,go,still,your,for,that,when,to,got,you,was,be,we,do,get,fuck,not,amp,with,he,a,on,last,like,of,up,this,night,the,think,are
0.08,0.083333333,pretty sure I was still drunk when I went to my 8 am class this morning college,0.96,pretty sure I was still drunk when I went to my 8 am class this morning. #college,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5,0.5,Maria Im Drunk ,1.0,Maria I'm Drunk 🎧🔥,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
0.0,0.003571429, right I actually looked for them at one point but was too drunk to find themHaha,0.48,"@DreedlesMcGee right? I actually looked for them at one point but was too drunk to find them
Haha.",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
-0.25,0.25,Possibly still drunk and Im about to take an exam WhatATimeToBeAlive,1.0,"Possibly still drunk and I'm about to take an exam 
#WhatATimeToBeAlive",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-0.25,0.25,Fighting back puking in the mall today  initiate step 2 of drunk ,0.5,Fighting back puking in the mall today 🙊 initiate step 2 of drunk ....,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
-0.31,0.3125,I think I called everyone in my phone last night Im that drunk asshole Sorry everyone no more drinking for a while,0.64,I think I called everyone in my phone last night. I'm that drunk asshole. Sorry everyone no more drinking for a while,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.08,0.075, oh I am I really fucking am I was too drunk to do anything last night but today I got time cuhs Lol,0.64,@BIGGMIKE904 oh I am. I really fucking am. I was too drunk to do anything last night but today I got time cuhs. Lol,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.02,0.02,I am ugly drunk but I am uglier soberUghhh i love you louise meets  good effin poet ,0.68,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
-0.25,0.25,Need a big lunchgetting drunk tonight,0.55,Need a big lunch...getting drunk tonight,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.45,0.45,got drunk as fuck with jakey ,0.8,got drunk as fuck with jakey http://t.co/wfI5A3mNJJ,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
