L,absPolarity,sentiment_polarity,sentiment_subjectivity,1,2
True,0.16,-0.16,0.6,-230915.1611481023,-26275.842482865948
True,0.13,0.13,0.22,-131942.20616260305,-95232.59768368686
True,0.02,0.02,0.93,-76861.95580787044,-172591.5424431017
True,0.22,0.22,0.47,-212672.64970485546,-51991.383610744735
True,0.07,0.07,0.73,-98190.63977741855,-212821.34981876155
True,0.29,-0.29,0.54,-160872.40248040645,-124746.11326089241
True,0.29,0.29,0.42,-98873.2619582748,-1391.3983103186692
True,0.33,0.33,0.5,-289732.98791256483,-224249.22548843286
True,0.33,0.33,0.5,-30245.70931925845,-97796.57482889049
True,0.03,-0.03,0.65,-206054.2806782744,78874.79388766162
True,0.12,0.12,0.29,-280069.8549982012,-97617.50890473937
True,0.33,0.33,0.5,-9822.490291692106,-56341.87459314264
True,0.42,0.42,0.5,-128573.1902363787,40199.11429440778
True,0.36,0.36,0.44,-300711.6717006785,-208788.52920516132
True,0.33,0.33,0.5,-203150.47293280196,74992.15117861176
True,0.0,0.0,0.0,-32014.15191898865,-25201.516271955446
True,0.33,0.33,0.5,-30314.016398544372,-97709.77123065293
True,0.03,-0.03,0.55,-39706.46975169246,-84541.63595665034
True,0.04,0.04,0.5,-323746.50406470994,103961.49308740735
True,0.33,0.33,0.5,-88879.45549276669,-15477.81733064993
True,0.17,-0.17,0.8,-148565.3698869692,-141959.68197700195
True,0.25,0.25,0.56,-208139.37419651847,-58480.03884093543
True,0.09,-0.09,0.65,-201614.11550295312,-67444.91437640344
True,0.13,0.13,0.32,-167173.55274746113,94531.26105804942
True,0.23,-0.23,0.75,-330627.1349686303,43524.1812643343
True,0.12,-0.12,0.46,-383974.2167585971,-21789.15226322959
True,0.18,0.18,0.6,-270594.58392813144,29490.003706881784
True,0.12,0.12,0.54,-319110.5728255351,97393.1375712044
True,0.33,0.33,0.5,-16074.239217618857,-47546.97280708743
True,0.17,0.17,0.25,-239491.89812627994,55735.81043878838
True,0.27,0.27,0.35,-106906.27664215598,-60284.18767297364
True,1.0,1.0,0.5,0.0,0.0
True,0.06,0.06,0.63,-384417.4114562613,48914.4076213471
True,0.42,0.42,0.5,-27054.012117207443,-32135.086393545553
True,0.29,0.29,0.75,-132692.9807368345,-23971.039602011697
True,0.2,0.2,0.5,-190528.1189036704,127192.39993152994
True,0.33,0.33,0.5,-59194.12386039285,-57151.669587411394
True,0.27,0.27,0.45,-78222.97107349393,39702.11222843013
True,0.27,0.27,0.35,-34562.20179487412,-21603.70605485543
True,0.33,0.33,0.5,-217301.31730390718,-45621.14990216275
True,0.33,0.33,0.5,0.0,0.0
True,0.29,0.29,0.35,-97880.50305276555,-2827.7294431427363
True,0.42,0.42,0.5,0.0,0.0
True,0.33,0.33,0.5,-16074.239217618857,-47546.97280708743
True,0.17,0.17,0.75,-136658.52066581225,-18496.452806568952
True,0.33,0.33,0.5,-44384.692086566225,-77945.58064799807
True,0.12,0.12,0.35,-41836.64221068076,-81543.39086509809
