L,absPolarity,sentiment_polarity,sentiment_subjectivity,me,dont,i,it,but,im,know,so,now,my,out,1,2,3,4,5,6,7,8,9,10,11
True,0.16,-0.16,0.6,False,False,False,False,False,True,False,False,False,True,False,0.01164741492887695,0.09361549272628092,-0.01092578543377958,0.023109502520628194,0.00016551752851576979,0.029909411786918735,0.06678182571083882,-0.0349099950909509,-0.025759557024691532,-0.0005536546073226867,-0.006746786563629592
True,0.13,0.13,0.22,False,False,False,False,True,False,False,False,False,False,True,-0.0029735150907883277,-0.10618172255944337,-0.0313722255200889,-0.050638584969686616,-0.06086331238996478,-0.09512432768783716,0.019199895095869886,-0.015106468171985556,0.058618762416219376,-0.01554111146380625,-0.00934987424247995
True,0.02,0.02,0.93,False,False,False,False,False,False,False,True,False,True,False,-0.10427606384396144,-0.09059111096194952,-0.08557421481126738,-0.2750657096642377,-0.07788485950573903,-0.07417298733561584,-0.22130939349878093,-0.02149295213428296,-0.1785691437357324,-0.02715720596188922,-0.1160799551832803
True,0.22,0.22,0.47,False,False,True,True,False,False,False,False,False,False,False,0.1769019218597527,-0.11105642720149876,-0.11511972983194182,0.02411201396155665,-0.04990787572636684,-0.054249973406228905,-0.03646032296656373,-0.020875448886701446,-0.037722603870727206,-0.027396704818273755,-0.012078059657273155
True,0.07,0.07,0.73,False,True,True,True,False,True,False,False,True,True,False,0.2947455088195677,-0.09688387670770879,-0.06997219306134363,0.05154866559494292,-0.024884907512118346,-0.04855027414633937,0.21543191010127155,-0.1598453982552091,-0.04738426343067684,0.006898576694873583,-0.04923232087486756
True,0.29,-0.29,0.54,False,False,False,False,False,False,False,False,False,True,False,0.044377026335933836,-0.010356059540137968,0.011130369760891838,-0.020387319534815065,0.0093295015877898,0.035444422524835116,0.014626014784189515,0.0064267557681110385,-0.019811585825973164,0.0034616438072572206,-0.002070119669114107
True,0.29,0.29,0.42,False,False,True,False,True,False,False,False,False,False,False,0.022902637367833326,-0.06352023286115231,-0.06338359705932539,-0.021806275313430858,-0.058317276493251545,-0.13356837358800322,0.03542082012019065,-0.011196330809821263,0.06887689096301453,-0.01566468103228017,-0.00895774538822523
True,0.33,0.33,0.5,False,False,True,False,False,True,False,True,False,False,False,-0.16805527930505054,0.02067523671706692,-0.1551672361170064,-0.2269256657777879,-0.08663562092583388,-0.14208774523397183,-0.18120944075755874,-0.0754830614203149,-0.1589762450229536,-0.03429660210144729,-0.12135713498373964
True,0.33,0.33,0.5,False,False,True,False,False,False,False,False,False,False,False,0.013327422281901622,-0.0030612641275403986,-0.03640649635017577,-0.015744097703808475,0.009742724226968985,-0.02693532463560448,0.0025701565987623996,-0.006226602658858958,0.005729284085524005,0.000337546082279059,-0.002670632575057952
True,0.03,-0.03,0.65,False,False,True,True,False,False,True,False,False,False,False,0.2071378867639636,-0.1505525637675207,-0.11317573008455191,0.015204739395350234,-0.0605921961795092,-0.05383923596545807,-0.06719272284224437,-0.03458855491399372,-0.05157832110593377,-0.017309770894581113,-0.015097174393823494
