L,absPolarity,sentiment_polarity,sentiment_subjectivity,ive,love,drunk,text,fuck,realli,high,need,say,good,want,go,home,girl,your,shit,even,make,lol,call,take,got,friend,drink,see,get,peopl,night,let,know,never,amp,one,look,last,like,work,drive,thing,u,today,time,wanna,think,talk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
True,0.13,0.13,0.22,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.09602051106076508,-0.7492773847056863,0.0654835749664828,0.06881848594572121,0.25561528889568774,0.005443710920339068,0.06388829099113863,-0.13826931123035976,0.09652724055564366,-0.27149842126065193,0.19155984590449823,0.06327042308908443,0.05910234631451178,0.25848787295492337,-0.49607890031369956,-0.1065341723169734
True,0.02,0.02,0.93,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0021538907151707203,-0.002122388295231847,-0.032254450808015485,-0.04257851041542534,0.036215800986701255,0.1250099030955756,0.12474537333171215,-0.18945201310532345,-0.05255182645435474,0.19877259989092635,0.11264099356411764,-0.03648850985228033,0.04924572716920008,0.05685722362523001,0.17924645853138696,-0.1645321035068596
True,0.22,0.22,0.47,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.025937918589686065,-0.1448257054216463,0.02075057747254215,-0.33194731064170857,0.20152072919645642,0.008621199211904698,-0.05115064428708441,-0.23466101815742826,-0.5648487917747553,0.3733361074073963,0.19864203239479908,0.12401473520403694,0.17560234473707312,0.20957896651723237,0.00968828118619066,0.0005576040884310574
True,0.07,0.07,0.73,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.01144909585773239,-0.02524980314474515,-0.03866777949784233,-0.020389097211135576,0.09947496820537056,0.33253568846382564,0.3228694382635282,-0.4042965820596526,-0.0013382460010305242,0.30522170919029107,0.12603254674661846,-0.18653469672812437,-0.24501696807914128,0.08256341306226775,-0.5165392813157036,0.5417831128555067
True,0.29,-0.29,0.54,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.015842218431080683,-0.027995540163264256,0.07430651428818508,-0.17839583473104398,-0.2522795890609657,0.13375031143667954,0.3641011956524074,-0.057713433306100875,-0.0930379077006506,0.3073626117240132,0.10774573755412781,0.0568997479467028,0.16164911076557384,-0.06196619635498104,0.17112465385527903,-0.07273483862635552
True,0.29,0.29,0.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,-0.027806843965267877,-0.019330446077146363,-0.11105243625988302,-0.1443925846744159,-0.033900071592930237,-0.0803491720815093,0.4415894982173304,0.22346297978372556,0.15991397720241107,0.24608642659995775,-0.05656282365554475,0.3244168730717841,0.17823417231362582,-0.2554630255560289,0.07941627572782127,0.21698907444198398
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.018348712734580726,-0.06074580069620667,0.1367904296051961,-0.0742247358909492,-0.28122909720335426,-0.19558036127864126,0.1925410710384055,0.08823706646557664,-0.1629864470372892,0.1002797784492166,0.2636228300041316,0.5687892780622985,0.22879128123814424,-0.4123330775154323,0.03604077505155841,0.07301991529804186
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.03,-0.03,0.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.005444418236272478,-0.054764073685199754,-0.0051311934860062205,-0.20671781994658556,0.07042131893730286,-0.11886992871151297,-0.14954236792483583,0.08459404740368202,0.06970650493782135,-0.10006606977851548,-0.1572339311003599,-0.44594872349658177,-0.261074473797562,-0.3708812716804136,0.038794432755916125,0.18776574117975092
True,0.12,0.12,0.29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.015390127033008376,0.03505053615247216,0.015120984914491264,-0.12219499514675508,0.10606399743649014,0.07356575522886076,0.1118093622939921,-0.17897868751620627,0.30648721278993557,0.26190934560514173,0.08941221145029489,0.061845723157257323,0.3015742084420161,-0.17289950655332023,-0.4991341265319388,-0.30984401531379185
