L,absPolarity,sentiment_polarity,sentiment_subjectivity,ive,love,drunk,text,fuck,realli,high,need,good,want,go,home,girl,your,shit,make,lol,call,take,got,friend,drink,see,get,peopl,night,let,know,never,amp,one,day,look,last,like,didnt,work,drive,thing,u,today,time,wanna,think,talk,1,2,3,4,5
True,0.13,0.13,0.22,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,-0.03557407276769524,0.1477161862910168,0.24679519740996309,-0.6239251910720572,-0.09163687358411376
True,0.02,0.02,0.93,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.09048893888223987,0.04254417695917955,-0.01885387766100777,-0.014511551152135508,-0.006767871876269814
True,0.22,0.22,0.47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.3280959614665333,0.394925793342743,0.0143467031193639,-0.03148760409532471,-0.027300109101421256
True,0.07,0.07,0.73,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.23831446485629781,-0.0848261400861316,-0.12310456022949172,-0.05769237364709602,-0.016207032421813254
True,0.29,-0.29,0.54,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.10878691405161349,-0.24830939826232817,-0.15034950969668098,-0.04070539918342608,-0.01990508167846866
True,0.29,0.29,0.42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,0.041550941921634776,-0.2994367084999259,-0.2537590783355209,-0.013996269997932066,-0.016613058000853533
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.17669772093115377,-0.30156606744257486,-0.1558882191949072,-0.05487482279364707,-0.016519602689887503
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0
True,0.03,-0.03,0.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0013754632390918023,0.02317525803239525,-0.03225768428497568,-0.03707761230202171,-0.003359995916896424
True,0.12,0.12,0.29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.14836488854916488,0.06767563442199027,0.09947025951457864,0.019163785708360467,-0.004259058467821304
True,0.33,0.33,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.09858693737844652,0.07983320535374622,-0.009628782922468212,-0.012643545926034932,-0.004258637921221855
