,id,url,sentiment_polarity,abs Polarity,Clean tweet,sentiment_subjectivity,tweet,now
0,681455780864851968,0.0,0.1,0.104761904762,If i wasnt on bc i would b pregnant right now Like todayand that shit would b so stressful and such a headache,0.58,If i wasnt on bc i would b pregnant right now. Like today..and that shit would b so stressful and such a headache.,"December 28, 2015"
0,681455780864851968,0.0,0.1,0.104761904762,If i wasnt on bc i would b pregnant right now Like todayand that shit would b so stressful and such a headache,0.58,If i wasnt on bc i would b pregnant right now. Like today..and that shit would b so stressful and such a headache.,"December 28, 2015"
0,681455715458887681,0.0,0.33,0.333333333333, although pregnant mud sharks over time will dilute the beast,0.5,@Mule432 although pregnant mud sharks over time will dilute the beast...,"December 28, 2015"
0,681455674077884417,0.0,0.29,0.291666666667, probably pregnant,0.75,@RachLouisexx probably pregnant;),"December 28, 2015"
0,681455780864851968,0.0,0.1,0.104761904762,If i wasnt on bc i would b pregnant right now Like todayand that shit would b so stressful and such a headache,0.58,If i wasnt on bc i would b pregnant right now. Like today..and that shit would b so stressful and such a headache.,"December 28, 2015"
0,681455715458887681,0.0,0.33,0.333333333333, although pregnant mud sharks over time will dilute the beast,0.5,@Mule432 although pregnant mud sharks over time will dilute the beast...,"December 28, 2015"
0,681455902105464832,0.0,0.28,0.277777777778,Like Simba needed Nala I need you Will you be my pregnant hippo    probably your most romantic song,0.5,Like Simba needed Nala- I need you. Will you be my pregnant hippo ? @bretteldredge 😂😂😂 probably your most romantic song,"December 28, 2015"
0,681455780864851968,0.0,0.1,0.104761904762,If i wasnt on bc i would b pregnant right now Like todayand that shit would b so stressful and such a headache,0.58,If i wasnt on bc i would b pregnant right now. Like today..and that shit would b so stressful and such a headache.,"December 28, 2015"
0,681455715458887681,0.0,0.33,0.333333333333, although pregnant mud sharks over time will dilute the beast,0.5,@Mule432 although pregnant mud sharks over time will dilute the beast...,"December 28, 2015"
0,681455978869555200,0.0,0.22,0.217708333333,Not being able to sleep past 4430 every morning is getting old 335 weeks pregnant and Id like to be done now ,0.39,Not being able to sleep past 4/4:30 every morning is getting old. 33.5 weeks pregnant and I'd like to be done now!! 😩,"December 28, 2015"
0,681455961047973888,0.0,0.14,0.144444444444,KideroFailedNairobi this is a pregnant pile of garbage near Mariakani South B Totally fed up ,0.55,#KideroFailedNairobi this is a pregnant pile of garbage near Mariakani South B. Totally fed up https://t.co/x63rO8st8T,"December 28, 2015"
0,681455902105464832,0.0,0.28,0.277777777778,Like Simba needed Nala I need you Will you be my pregnant hippo    probably your most romantic song,0.5,Like Simba needed Nala- I need you. Will you be my pregnant hippo ? @bretteldredge 😂😂😂 probably your most romantic song,"December 28, 2015"
0,681455780864851968,0.0,0.1,0.104761904762,If i wasnt on bc i would b pregnant right now Like todayand that shit would b so stressful and such a headache,0.58,If i wasnt on bc i would b pregnant right now. Like today..and that shit would b so stressful and such a headache.,"December 28, 2015"
0,681455978869555200,0.0,0.22,0.217708333333,Not being able to sleep past 4430 every morning is getting old 335 weeks pregnant and Id like to be done now ,0.39,Not being able to sleep past 4/4:30 every morning is getting old. 33.5 weeks pregnant and I'd like to be done now!! 😩,"December 28, 2015"
0,681455961047973888,0.0,0.14,0.144444444444,KideroFailedNairobi this is a pregnant pile of garbage near Mariakani South B Totally fed up ,0.55,#KideroFailedNairobi this is a pregnant pile of garbage near Mariakani South B. Totally fed up https://t.co/x63rO8st8T,"December 28, 2015"
0,681455902105464832,0.0,0.28,0.277777777778,Like Simba needed Nala I need you Will you be my pregnant hippo    probably your most romantic song,0.5,Like Simba needed Nala- I need you. Will you be my pregnant hippo ? @bretteldredge 😂😂😂 probably your most romantic song,"December 28, 2015"
0,681455780864851968,0.0,0.1,0.104761904762,If i wasnt on bc i would b pregnant right now Like todayand that shit would b so stressful and such a headache,0.58,If i wasnt on bc i would b pregnant right now. Like today..and that shit would b so stressful and such a headache.,"December 28, 2015"
0,681456028240580608,0.0,0.52,0.516666666667,DAustin  aint pregnant just eating good,0.55,@Daniel_DAustin @JStain8 ain't pregnant just eating good,"December 28, 2015"
0,681455978869555200,0.0,0.22,0.217708333333,Not being able to sleep past 4430 every morning is getting old 335 weeks pregnant and Id like to be done now ,0.39,Not being able to sleep past 4/4:30 every morning is getting old. 33.5 weeks pregnant and I'd like to be done now!! 😩,"December 28, 2015"
